Age	Trisomy_21_risk	Trisomy_18_risk	Trisomy_13_risk
25	1/1,369	1/13,698	1/20,000
26	1/1,345	1/13,363	1/19,156
27	1/1,280	1/12,517	1/18,140
28	1/1,191	1/11,424	1/17,050
29	1/1,094	1/10,297	1/15,962
30	1/1,000	1/9,259	1/14,925
31	1/881	1/8,130	1/13,943
32	1/738	1/6,880	1/12,972
33	1/603	1/5,715	1/11,991
34	1/490	1/4,720	1/10,996
35	1/400	1/3,906	1/10,000
36	1/305	1/3,136	1/8,890
37	1/221	1/2,427	1/7,719
38	1/163	1/1,868	1/6,650
39	1/125	1/1,451	1/5,743
40	1/100	1/1,145	1/5,000
41	1/80	1/865	1/4,350
42	1/65	1/631	1/3,765
43	1/53	1/469	1/3,263
44	1/44	1/361	1/2,845
45	1/38	1/289	1/2,500
