Age	T21_twin_odibo	T18_twin_odibo	T13_twin_odibo
25	1/684	1/6,849	1/10,000
26	1/672	1/6,681	1/9,578
27	1/640	1/6,258	1/9,070
28	1/595	1/5,712	1/8,525
29	1/547	1/5,148	1/7,981
30	1/500	1/4,629	1/7,462
31	1/440	1/4,065	1/6,971
32	1/369	1/3,440	1/6,486
33	1/301	1/2,857	1/5,995
34	1/245	1/2,360	1/5,498
35	1/200	1/1,953	1/5,000
36	1/152	1/1,568	1/4,445
37	1/110	1/1,213	1/3,859
38	1/81	1/934	1/3,325
39	1/62	1/725	1/2,871
40	1/50	1/572	1/2,500
41	1/40	1/432	1/2,175
42	1/32	1/315	1/1,882
43	1/26	1/234	1/1,631
44	1/22	1/180	1/1,422
45	1/19	1/144	1/1,250
