sample	type	UAR	Z
N1	N	2.901792118	3.79654224
N2	N	2.881416209	3.680727506
N3	N	2.886518972	3.631545597
N4	N	2.898585769	3.477133201
N5	N	2.893769443	3.333651593
N6	N	2.880734931	3.242987396
N7	N	2.883581795	3.196087088
N8	N	2.882470671	3.160291716
N9	N	2.866165266	3.155149539
N10	N	2.893021009	3.09395736
N11	N	2.894501097	3.083485642
N12	N	2.893327747	3.078628782
N13	N	2.883655211	3.074015218
N14	N	2.893571333	3.061452614
N15	N	2.880890397	3.04464777
N16	N	2.882856067	3.042573144
N17	N	2.872724365	3.028422746
N18	N	2.894002717	3.023721009
N19	N	2.898784573	2.989620308
N20	N	2.9012543	2.965159225
N21	N	2.868818034	2.949758553
N22	N	2.871190851	2.946929271
N23	N	2.881160057	2.923336405
N24	N	2.884211733	2.905041531
N25	N	2.876372037	2.897248327
N26	N	2.884111262	2.886308924
N27	N	2.864971712	2.868813873
N28	N	2.885167243	2.852681046
N29	N	2.882111452	2.84416598
N30	N	2.912258852	2.824288935
N31	N	2.877182214	2.821187332
N32	N	2.88609548	2.806565024
N33	N	2.872039303	2.806281987
N34	N	2.897418081	2.794302083
N35	N	2.885310815	2.777257822
N36	N	2.868428367	2.775425191
N37	N	2.879860422	2.76783077
N38	N	2.888569296	2.763419517
N39	N	2.875441833	2.716763703
N40	N	2.911190167	2.671342359
N41	N	2.873313517	2.656075867
N42	N	2.868662474	2.655105699
N43	N	2.890813094	2.635469038
N44	N	2.872862256	2.626905779
N45	N	2.887952934	2.621622239
N46	N	2.897870115	2.619238586
N47	N	2.873726178	2.610775211
N48	N	2.872298058	2.608727243
N49	N	2.894016678	2.599540009
N50	N	2.902753115	2.59949943
N51	N	2.871475656	2.591420546
N52	N	2.875459544	2.588511102
N53	N	2.877369185	2.583746198
N54	N	2.876887667	2.576602206
N55	N	2.875234623	2.574456694
N56	N	2.885516891	2.567151701
N57	N	2.873869232	2.55897808
N58	N	2.856635398	2.544999028
N59	N	2.886311143	2.538177388
N60	N	2.870582082	2.522262176
N61	N	2.87177784	2.518263411
N62	N	2.877608848	2.517174077
N63	N	2.870783965	2.510886475
N64	N	2.877530443	2.506712545
N65	N	2.891333901	2.497007446
N66	N	2.875618884	2.49693166
N67	N	2.86850182	2.490389227
N68	N	2.907890632	2.484070477
N69	N	2.870825831	2.478819492
N70	N	2.873416655	2.475285919
N71	N	2.887817202	2.455942747
N72	N	2.89832788	2.454289888
N73	N	2.88090699	2.453601267
N74	N	2.881984262	2.452616703
