Sample	type	UAR	Z
N1	XX	5.286319423	-2.963816084
N2	XX	5.119537308	-7.026860528
N3	XX	5.249713899	-4.256596202
N4	XX	5.271836498	-2.492460971
N5	XX	5.294545764	-2.61738819
N6	XX	5.2060514	-3.689845787
N7	XX	5.23342234	-3.789300215
N8	XX	5.262410702	-3.161357345
N9	XX	5.20531338	-3.816064788
N10	XX	5.202674407	-3.79830558
N11	XX	5.223409663	-3.820737282
N12	XX	5.274377755	-2.742494597
N13	XX	5.199576397	-3.882503106
N14	XX	5.252070749	-3.091136249
N15	XX	5.27563307	-2.839355859
N16	XX	5.268813828	-2.907280338
N17	XX	5.222912252	-4.95790265
N18	XX	5.355084021	-0.576482072
N19	XX	5.216125404	-3.372947504
N20	XX	5.26681943	-2.989846232
N21	XX	5.233798106	-2.99671242
N22	XX	5.234681027	-4.149061301
N23	XX	5.269936307	-4.159154862
N24	XX	5.216770903	-4.482816783
N25	XX	5.270699423	-4.546469109
N26	XX	5.299874275	-2.436125235
N27	XX	5.197290679	-3.329250657
N28	XX	5.19242431	-4.656301969
N29	XX	5.183921754	-6.184191468
N30	XX	5.168259955	-5.932203379
N31	XX	5.250783729	-4.584755278
N32	XX	5.210369521	-3.842652784
N33	XX	5.198946722	-4.928866791
N34	XX	5.253911282	-2.916269465
N35	XX	5.245700765	-4.210571119
N36	XX	5.215274683	-3.271834127
N37	XX	5.205926133	-5.440686023
N38	XX	5.238758427	-3.409582826
N39	XX	5.205564382	-2.475514452
N40	XX	5.280782085	-2.42700923
N41	XX	5.238595183	-3.057736702
N42	XX	5.254340583	-2.962973937
N43	XX	5.282407972	-2.426088174
N44	XX	5.238639519	-3.887757584
N45	XX	5.286851192	-2.864908141
N46	XX	5.27115255	-2.357481117
N47	XX	5.233745918	-4.648460055
N48	XX	5.223426883	-4.517354012
N49	XX	5.228288693	-3.655336305
N50	XX	5.228177395	-3.783770087
N51	XX	5.191188394	-4.712591163
N52	XX	5.257255658	-3.166387186
N53	XX	5.237635723	-3.409535849
N54	XX	5.220721708	-5.395590988
N55	XX	5.200705494	-3.845773685
