sample	type	UAR	Z
N1	N	1.264990122	-0.242760676
N2	N	1.27186256	-0.757993224
N3	N	1.255526509	0.010352002
N4	N	1.253759647	-0.584269025
N5	N	1.283698623	1.586355513
N6	N	1.285335993	1.500204978
N7	N	1.286121823	1.049542708
N8	N	1.285860339	1.138027649
N9	N	1.278991297	0.844989452
N10	N	1.280830059	0.414412252
N11	N	1.26109146	-0.36973216
N12	N	1.249893524	-3.686100796
N13	N	1.277232419	1.338198683
N14	N	1.265761304	-0.004036693
N15	N	1.279648826	1.590387806
N16	N	1.287963866	1.030722146
N17	N	1.276966643	0.64515383
N18	N	1.26841292	0.034738364
N19	N	1.272154834	1.459159822
N20	N	1.265387704	-0.857729738
N21	N	1.253399927	-0.904141896
N22	N	1.261163557	0.623014691
N23	N	1.258473061	0.721519554
N24	N	1.280218054	0.633963095
N25	N	1.275822041	1.367232373
N26	N	1.272728836	-2.026772436
N27	N	1.278574121	-0.602761046
N28	N	1.246463983	-1.793451966
N29	N	1.252862736	-0.219962864
N30	N	1.273919838	0.991784958
N31	N	1.295450373	1.899084618
N32	N	1.274645067	0.725539689
N33	N	1.262705582	-0.108504772
N34	N	1.299575215	1.563475865
N35	N	1.264524811	-1.287645816
N36	N	1.270934255	0.417302426
N37	N	1.260701348	-1.230172009
N38	N	1.250356664	-0.012203133
N39	N	1.247605888	-0.5581825
N40	N	1.259310389	-0.497037208
N41	N	1.25838073	-0.757366137
N42	N	1.279552467	0.424656712
N43	N	1.271854591	0.874944885
N44	N	1.255892655	-0.678931786
N45	N	1.284735845	-0.162207364
N46	N	1.293353397	0.734673136
N47	N	1.270320126	0.325956387
N48	N	1.277357006	-0.387399729
N49	N	1.247575995	0.276171195
N50	N	1.293659975	1.858634233
N51	N	1.258982972	-0.459170817
N52	N	1.256149754	-1.64227572
N53	N	1.283883439	1.694064941
N54	N	1.272923009	0.795176408
N55	N	1.281276553	-0.114930049
N56	N	1.276191234	0.869193401
N57	N	1.253888498	-0.622266151
N58	N	1.287657774	0.268119832
N59	N	1.264422924	0.789306995
N60	N	1.262165801	-1.194964275
N61	N	1.249557773	-1.194055798
N62	N	1.252386505	-2.822379547
N63	N	1.261420046	-0.659421407
N64	N	1.260865903	1.133371546
N65	N	1.280759841	0.667069431
N66	N	1.258618813	-0.027733535
N67	N	1.258884213	-0.214671324
N68	N	1.268295146	-0.423026676
N69	N	1.297214711	1.086492018
N70	N	1.257508539	-0.155391803
N71	N	1.279007056	0.158904212
N72	N	1.28099688	1.210373068
N73	N	1.292089299	1.789062782
N74	N	1.268387014	0.129498592
N75	N	1.278782817	1.516459159
N76	N	1.287670799	1.473981691
N77	N	1.246692655	-0.582247358
N78	N	1.266287789	-0.71325378
N79	N	1.282074229	0.936627159
N80	N	1.267654424	-1.152298982
N81	N	1.259821142	0.330080595
N82	N	1.281557961	0.800678472
N83	N	1.283366703	0.954516202
N84	N	1.278309963	0.976982787
N85	N	1.267580132	0.32218391
N86	N	1.264318211	-0.760407706
N87	N	1.278856337	1.030759676
N88	N	1.280065051	1.888568089
N89	N	1.25295405	-1.030505936
N90	N	1.285835869	1.389233342
N91	N	1.296313225	2.448708617
N92	N	1.245588465	-1.907909728
N93	N	1.281567543	-0.215001839
N94	N	1.270583935	0.330731727
N95	N	1.287891913	1.873410619
N96	N	1.280548101	0.30048552
N97	N	1.23542856	-1.848722752
N98	N	1.263264846	0.676860889
N99	N	1.279420614	1.655182393
N100	N	1.285796375	1.07879054
N101	N	1.28015243	0.625681824
N102	N	1.268968534	1.495009171
N103	N	1.285464925	1.695595545
N104	N	1.284392521	0.939553083
N105	N	1.286190362	-0.536979805
N106	N	1.276670456	-0.099496095
N107	N	1.256756136	0.084348855
N108	N	1.290206031	3.10874352
N109	N	1.27071162	-1.282088765
N110	N	1.281101537	-0.317025684
N111	N	1.277614288	0.824544356
N112	N	1.30505443	1.377988925
N113	N	1.301332224	1.694478997
N114	N	1.279549428	-0.433687771
N115	N	1.280585082	0.172247127
N116	N	1.261290899	0.718730924
N117	N	1.263213834	-1.145716471
N118	N	1.291176579	2.468322892
N119	N	1.264916647	-0.162590446
N120	N	1.254932779	-0.643507266
N121	N	1.275057675	-0.013047846
N122	N	1.249455777	-2.873552236
N123	N	1.256488033	-0.234243573
N124	N	1.275106371	3.153742
N125	N	1.273459592	1.508696997
N126	N	1.278431225	0.884311911
N127	N	1.266751109	0.254040149
N128	N	1.264729088	-0.99793578
N129	N	1.251932076	0.501011929
N130	N	1.279371091	0.126897105
N131	N	1.283924924	0.065260144
N132	N	1.276439414	-0.213381873
N133	N	1.256226084	1.044628186
N134	N	1.264933832	-0.991898214
N135	N	1.284962345	0.971003907
N136	N	1.286083719	0.329435453
N137	N	1.267921812	-0.351255081
N138	N	1.255732709	-1.367164701
N139	N	1.249264272	-1.225776973
N140	N	1.292524305	0.523259175
N141	N	1.261226306	0.018896584
N142	N	1.278204633	-0.886109459
N143	N	1.267675482	-0.487268328
N144	N	1.286411047	0.746762778
N145	N	1.273483803	0.471210504
N146	N	1.27071298	-0.624970219
N147	N	1.305176669	2.860814586
N148	N	1.272886232	0.325061794
N149	N	1.271954684	0.462498472
N150	N	1.304560132	2.130272043
N151	N	1.247954612	-1.431804144
N152	N	1.258809433	-1.193281576
N153	N	1.280779842	2.525211426
N154	N	1.274542091	0.177367201
N155	N	1.257824246	0.908840671
N156	N	1.249097203	-0.390526146
N157	N	1.272937843	-0.348186181
N158	N	1.284976531	1.314570591
N159	N	1.285444127	1.864402669
N160	N	1.262392853	-0.667404437
N161	N	1.260154843	0.503885741
N162	N	1.259819654	-0.989043716
N163	N	1.241453728	-1.173429717
N164	N	1.294929744	1.828942949
N165	N	1.277694053	0.096915266
N166	N	1.275804531	-0.81517494
N167	N	1.253841646	-1.666906693
N168	N	1.272035947	-0.381282568
N169	N	1.250936763	-0.869843039
N170	N	1.260671993	0.277127185
N171	N	1.26804217	-0.173805874
N172	N	1.280829321	2.073107533
N173	N	1.259746246	-1.751151035
N174	N	1.295136648	4.418379118
N175	N	1.285185121	0.985560023
N176	N	1.276658469	0.13747917
N177	N	1.285465234	1.550950367
N178	N	1.25875781	-0.915461761
N179	N	1.259473982	-0.863367808
N180	N	1.250224888	-0.299075558
N181	N	1.293346768	1.481144066
N182	N	1.271615659	-1.265946772
N183	N	1.27531643	0.120836788
N184	N	1.277654446	1.368638695
N185	N	1.259186535	-0.160373525
N186	N	1.280548715	1.762067288
N187	N	1.286938285	0.171763434
N188	N	1.278459654	1.604777415
N189	N	1.273587832	-0.160093542
N190	N	1.279706021	0.98762759
N191	N	1.29204665	1.110724777
N192	N	1.274545623	-0.037771014
N193	N	1.250805717	-1.084486658
N194	N	1.31094245	2.791326441
N195	N	1.272652246	-0.156613255
N196	N	1.272343245	0.488598644
N197	N	1.276544395	1.288355214
N198	N	1.272941768	2.310389594
N199	N	1.265438249	0.022946584
N200	N	1.273481415	-0.474683573
N201	N	1.260843312	-0.50876047
N202	N	1.287437068	0.233676043
N203	N	1.262711756	-0.736799624
N204	N	1.266869749	0.98513844
N205	N	1.259758559	-1.327597151
N206	N	1.281863795	-0.716142114
N207	N	1.266138958	-0.020981765
N208	N	1.297127802	2.070721099
N209	N	1.275338905	0.632332479
N210	N	1.242525085	-0.860162104
N211	N	1.261596232	-0.753445487
N212	N	1.278034712	0.152812933
N213	N	1.324952703	2.869145057
N214	N	1.258739837	-0.217766212
N215	N	1.286554886	1.114874522
N216	N	1.276494721	0.906574091
N217	N	1.287973955	1.693809753
N218	N	1.264223317	-0.372827702
N219	N	1.261156282	-1.694714029
N220	N	1.277195972	-0.365001686
N221	N	1.280804941	0.075268761
N222	N	1.297439614	1.624656025
N223	N	1.251999796	-1.583334318
N224	N	1.275824303	0.22699962
N225	N	1.232505541	-1.168898832
N226	N	1.275135792	0.106724749
N227	N	1.260283576	1.280550948
N228	N	1.300629272	1.576048328
N229	N	1.279087153	0.489626155
N230	N	1.281647941	-0.033342753
N231	N	1.283273744	1.278848131
N232	N	1.261049286	0.004291632
N233	N	1.287631275	1.327935579
N234	N	1.270615828	-0.194587811
N235	N	1.27909195	0.633440136
N236	N	1.290057207	2.060673736
N237	N	1.264146158	0.28794221
N238	N	1.275509102	0.119771542
N239	N	1.267129967	0.790118366
N240	N	1.302358184	4.616405782
N241	N	1.275535624	-0.640558326
N242	N	1.258499417	-0.933789699
N243	N	1.247810242	0.015168132
N244	N	1.285794931	0.845723882
N245	N	1.279875614	0.459154701
N246	N	1.279593809	-0.516369591
N247	N	1.278936712	-0.463453711
N248	N	1.267620962	1.079336329
N249	N	1.270483948	-1.474925572
N250	N	1.264029536	1.134670186
N251	N	1.295532754	1.067011592
N252	N	1.270641288	1.163666756
N253	N	1.290593155	1.523176099
N254	N	1.28638132	0.448766105
N255	N	1.284217997	0.81678787
N256	N	1.248254146	-1.47162918
N257	N	1.279002849	2.789274634
N258	N	1.292937175	1.902209943
N259	N	1.289174812	1.535250227
N260	N	1.253797062	1.008988331
N261	N	1.292615167	1.25741026
N262	N	1.271888386	-0.53758878
N263	N	1.283949311	1.524175487
N264	N	1.279335132	0.647197145
N265	N	1.281641259	1.114269069
N266	N	1.274181114	0.933048958
N267	N	1.260360307	-0.163402658
N268	N	1.277240158	-0.043876312
N269	N	1.276525941	0.985861329
N270	N	1.29064009	1.471906966
N271	N	1.243556775	-0.073294141
N272	N	1.265779923	-0.674263513
N273	N	1.2494454	-1.069469183
N274	N	1.264672782	-0.055735827
N275	N	1.27096238	0.032820046
N276	N	1.261900733	0.076427524
N277	N	1.275133512	-0.717782941
N278	N	1.277736977	-1.498153539
N279	N	1.246711315	-2.309770744
N280	N	1.255357379	-0.295935318
N281	N	1.254095582	-0.2415453
N282	N	1.279703605	0.831527226
