sample	type	UAR	Z
N1	N	5.428389391	1.066088307
N2	N	5.402459411	1.0421135
N3	N	5.40650909	1.602552942
N4	N	5.415545497	1.250489937
N5	N	5.408409364	0.892615907
N6	N	5.426893578	1.783045035
N7	N	5.409989553	1.363471116
N8	N	5.408655988	0.415629844
N9	N	5.423923323	0.989320467
N10	N	5.393564831	0.0
N11	N	5.422084152	1.146875879
N12	N	5.393074453	0.352959898
N13	N	5.430408054	2.150613368
N14	N	5.39334285	0.972958401
N15	N	5.391051074	-0.126338021
N16	N	5.39092382	0.382948698
N17	N	5.418752322	1.045440524
N18	N	5.401140136	0.285691661
N19	N	5.396205049	0.934969726
N20	N	5.384816984	0.113920787
N21	N	5.394755213	0.578557569
N22	N	5.392264121	0.328771488
N23	N	5.408148756	0.919157195
N24	N	5.396457797	0.365169955
N25	N	5.414233408	0.699175736
N26	N	5.391167428	0.625929904
N27	N	5.410174401	0.971830298
N28	N	5.406655615	0.543346762
N29	N	5.391580167	0.0
N30	N	5.38798122	0.745516432
N31	N	5.406549945	1.257707869
N32	N	5.380028019	0.387088566
N33	N	5.379901602	-0.008211329
N34	N	5.408519503	0.63949263
N35	N	5.413028293	0.642743527
N36	N	5.3606989	-0.162019596
N37	N	5.398361738	0.836792476
N38	N	5.408106746	1.2886201
N39	N	5.418256995	1.704309607
N40	N	5.384917977	0.698010605
N41	N	5.389866054	0.466247881
N42	N	5.398416996	1.030275935
N43	N	5.396178578	1.083447811
N44	N	5.400241054	1.454644736
N45	N	5.387045827	1.742660384
N46	N	5.384236616	1.16004214
N47	N	5.415297356	0.940331739
N48	N	5.402787693	2.345918581
N49	N	5.398971341	0.438942256
N50	N	5.406981908	1.500494824
N51	N	5.404392138	1.973796419
N52	N	5.397137753	1.093685945
N53	N	5.389511873	0.596019331
N54	N	5.380829379	0.256183737
N55	N	5.38120714	0.928376152
N56	N	5.410874389	1.185987267
N57	N	5.408376902	1.363161762
N58	N	5.404434993	2.051276003
N59	N	5.394483592	1.487251573
N60	N	5.388393475	0.036094319
N61	N	5.416906174	1.603876749
N62	N	5.398662808	1.071730587
N63	N	5.395927635	0.943913862
N64	N	5.427387127	0.9540198
N65	N	5.400883221	1.192495524
N66	N	5.402962135	1.495995511
N67	N	5.40993772	1.584318623
N68	N	5.414031843	1.588956676
N69	N	5.413616064	0.998414076
N70	N	5.38814393	0.52447373
N71	N	5.397247408	-0.049399215
N72	N	5.438319617	1.26815233
