sample	type	UAR	Z
N1	N	6.191478136	-0.204960068
N2	N	6.202218485	0.1069124
N3	N	6.216066743	0.0
N4	N	6.1751571	-1.319562187
N5	N	6.200071555	-0.568559715
N6	N	6.185342171	-0.924764846
N7	N	6.182048975	-1.642047798
N8	N	6.210899694	0.0
N9	N	6.20889586	0.868068789
N10	N	6.178037269	-0.257618353
N11	N	6.25393769	0.660290689
N12	N	6.213093451	0.01698941
N13	N	6.207248567	-0.340596336
N14	N	6.168154471	-0.697849262
N15	N	6.216797895	-0.56619391
N16	N	6.191777567	-0.072990905
N17	N	6.170991668	-0.988129381
N18	N	6.209844021	0.104581975
N19	N	6.197775266	-0.869442749
N20	N	6.203841214	-0.400677103
N21	N	6.211993602	-0.141696696
N22	N	6.222459842	0.042967934
N23	N	6.186588552	-0.523988703
N24	N	6.215847874	0.408293899
N25	N	6.214057555	0.161871491
N26	N	6.183098788	-0.730063548
N27	N	6.199619024	-0.598435293
N28	N	6.185599299	0.0
N29	N	6.23154228	0.569625815
N30	N	6.200576457	0.212738561
N31	N	6.193258736	-0.453639555
N32	N	6.211552748	-0.125702954
N33	N	6.214347804	0.256860589
N34	N	6.214778702	0.055316738
N35	N	6.191274274	-0.373343663
N36	N	6.198902431	0.060871492
N37	N	6.195139857	0.111211205
N38	N	6.233202696	0.714772938
N39	N	6.210660264	-0.144143197
N40	N	6.164704031	-1.468640155
N41	N	6.175193024	-1.565183936
N42	N	6.210345764	0.0
N43	N	6.204472449	-0.144516098
N44	N	6.188687753	-0.780339039
N45	N	6.20191979	0.021020247
N46	N	6.175772858	-1.065085208
N47	N	6.204269222	-0.35133345
N48	N	6.185560015	0.276070652
N49	N	6.194102321	-0.523277022
N50	N	6.157404903	-0.924122433
N51	N	6.190448887	-0.49653002
N52	N	6.146394581	-1.910347669
N53	N	6.173586748	-0.815127108
N54	N	6.217087186	0.40592591
N55	N	6.202895277	-0.071642564
N56	N	6.210885281	0.025114219
N57	N	6.185314268	-1.139522681
N58	N	6.19547169	0.0
N59	N	6.218278687	0.094792429
N60	N	6.226175819	0.155071205
N61	N	6.20382282	0.007276383
N62	N	6.211559205	0.063455297
N63	N	6.178792329	-0.498064415
N64	N	6.203417915	0.259181899
N65	N	6.203440875	0.041826925
N66	N	6.197829076	-0.3410207
N67	N	6.194939828	-0.212138349
N68	N	6.203544537	0.24484758
N69	N	6.181227876	-1.128479971
N70	N	6.221978562	-0.068281698
N71	N	6.214074835	0.265208409
N72	N	6.200866836	-0.27493032
N73	N	6.204598357	-0.922843787
N74	N	6.174954698	-1.044705898
N75	N	6.19746003	-0.289064087
N76	N	6.209908543	-0.386844349
N77	N	6.202237493	-0.794789692
N78	N	6.210202691	0.285093282
N79	N	6.181065595	-0.385325772
N80	N	6.149695026	-1.624672077
N81	N	6.182178403	-0.359791326
N82	N	6.189240702	-1.038738223
N83	N	6.243405942	1.280691513
N84	N	6.167176189	-0.903917949
N85	N	6.182506465	-0.692963434
N86	N	6.212659033	-0.408497969
N87	N	6.231547827	0.0
N88	N	6.184874751	0.0
N89	N	6.1992286	-0.546006448
N90	N	6.21951269	0.4819562
N91	N	6.187239383	-0.785273693
N92	N	6.209214359	-0.844726516
N93	N	6.228572746	0.390087248
N94	N	6.218194962	0.013613047
N95	N	6.146329296	-1.45475519
N96	N	6.204724847	0.055284704
N97	N	6.228148056	0.247644375
N98	N	6.229872739	0.331738153
N99	N	6.182547561	-0.592464413
N100	N	6.191346319	-0.784182564
N101	N	6.239184028	0.899877888
N102	N	6.21843549	0.210386407
N103	N	6.193822512	0.396075057
N104	N	6.224032883	0.014373047
N105	N	6.191139183	-0.670525952
N106	N	6.190953262	-0.048254442
N107	N	6.175797915	-0.739390003
N108	N	6.197702208	0.0
N109	N	6.219413042	0.174184623
N110	N	6.185134141	-0.958140595
N111	N	6.234538378	1.003469707
N112	N	6.180680175	-0.978981841
N113	N	6.178074617	-0.84372366
N114	N	6.181866775	-0.210091686
N115	N	6.205557204	-0.867078586
N116	N	6.211216797	-0.497512424
N117	N	6.178529553	-0.870059192
N118	N	6.206052775	0.14558077
N119	N	6.211951879	0.836556493
N120	N	6.201807098	-0.104192918
N121	N	6.189208696	-0.259445779
N122	N	6.188829717	-0.244222592
N123	N	6.207514752	0.201218212
N124	N	6.191984282	-0.14776767
N125	N	6.201123189	-0.235302278
N126	N	6.190971338	-0.805395297
N127	N	6.180862762	-0.836628485
N128	N	6.188531363	0.0
N129	N	6.177205083	-0.701381485
N130	N	6.190097743	-0.603023754
N131	N	6.22897328	0.214310615
N132	N	6.215450294	0.06155463
N133	N	6.182687094	-1.268548223
N134	N	6.191877707	-0.843817567
N135	N	6.222348305	-0.144095331
N136	N	6.171767143	-0.362810511
N137	N	6.189819938	-0.920594878
N138	N	6.180181723	-1.55401118
N139	N	6.152847655	-1.364613744
N140	N	6.221405032	-0.307007839
N141	N	6.200278341	-0.367784627
N142	N	6.188327258	-0.682362214
N143	N	6.188605716	-0.80043455
N144	N	6.167585227	-1.419142299
N145	N	6.21567943	0.084575988
N146	N	6.230950671	0.666453989
N147	N	6.18445127	-0.269105102
N148	N	6.194907064	-0.371335257
N149	N	6.177304181	-1.02595147
N150	N	6.186258915	-0.259753745
N151	N	6.205229971	-0.311359066
N152	N	6.175626642	-1.301402987
N153	N	6.19047128	-0.134136503
N154	N	6.196746405	-0.35728942
N155	N	6.218156179	0.0
N156	N	6.19363101	-0.358158259
N157	N	6.194090128	-0.637254296
N158	N	6.216444618	0.148226431
N159	N	6.169297751	-0.571323974
N160	N	6.207271047	-0.559650813
N161	N	6.211258707	0.110114803
N162	N	6.197204989	-0.738798611
N163	N	6.201798867	0.0
N164	N	6.188847581	-0.229464305
N165	N	6.205371143	0.049539704
N166	N	6.176049807	-0.669362396
N167	N	6.174422453	-1.349313655
N168	N	6.249721523	0.833562216
N169	N	6.197668252	-0.522586509
N170	N	6.210863086	0.0
N171	N	6.208569219	0.023359409
N172	N	6.226313479	0.530942227
N173	N	6.197934103	-0.53295229
N174	N	6.19281463	-0.511742359
N175	N	6.210806357	-0.368679668
N176	N	6.203826987	-0.636258712
N177	N	6.188483558	-0.42487191
N178	N	6.193640425	-0.014213336
N179	N	6.160176454	-0.976694425
N180	N	6.214508375	0.242754078
N181	N	6.221882997	0.0
N182	N	6.17802467	-0.832527889
N183	N	6.208969624	0.543859438
N184	N	6.18347639	-0.719725552
N185	N	6.163953632	-0.297713732
N186	N	6.197499702	-0.106102873
N187	N	6.210944263	-0.253968986
N188	N	6.192189335	-0.857240259
N189	N	6.209358112	-0.1956385
N190	N	6.214134611	-0.718363758
N191	N	6.174448378	-1.343360849
N192	N	6.20821824	-0.129164793
N193	N	6.230001486	0.884716654
N194	N	6.188066995	-0.380443094
N195	N	6.211136178	0.156175113
N196	N	6.246298094	0.702899394
N197	N	6.17799949	-0.216007031
N198	N	6.234073193	0.459726547
N199	N	6.191392813	-0.144716376
N200	N	6.192965756	0.543759865
N201	N	6.186555439	-0.61055431
N202	N	6.18907748	-0.677318385
N203	N	6.181808032	-0.496086591
N204	N	6.211693024	-0.254333102
N205	N	6.176292751	-0.978473834
N206	N	6.204034917	0.240875965
N207	N	6.179327465	-0.337120872
N208	N	6.207862052	-0.216220063
N209	N	6.20704434	0.0
N210	N	6.174289085	-0.748384203
N211	N	6.225751496	0.441538224
N212	N	6.154116765	-0.125361478
N213	N	6.209447284	0.0
N214	N	6.20569724	-0.198473669
N215	N	6.194020046	-0.338124983
N216	N	6.1916666	-0.158313684
N217	N	6.199449296	-0.330057835
N218	N	6.237510603	0.556592198
N219	N	6.193102414	0.006997545
N220	N	6.198248251	-0.339444154
N221	N	6.195149236	0.0
N222	N	6.201569159	0.40262008
N223	N	6.204020476	0.0
N224	N	6.186554709	-0.97157232
N225	N	6.211778701	0.0
N226	N	6.175528193	-1.195297111
N227	N	6.193532172	-0.457237138
N228	N	6.186035639	-0.087051975
N229	N	6.187908224	-0.709254255
N230	N	6.19070622	-0.721644635
N231	N	6.20476089	0.026522848
N232	N	6.183000292	-1.131004914
N233	N	6.167503869	-0.395390523
N234	N	6.167133113	-0.526474799
N235	N	6.210224804	-0.142389179
N236	N	6.199815092	-0.193770565
N237	N	6.181416105	-0.790484564
N238	N	6.159142207	-0.779554638
N239	N	6.196531808	-0.485385258
N240	N	6.189363586	-0.893726367
N241	N	6.179133557	-0.582011386
N242	N	6.200780502	0.12159307
N243	N	6.199119258	0.086074259
N244	N	6.194379434	-0.18501348
N245	N	6.212424758	0.0
N246	N	6.175686832	-0.097113939
N247	N	6.175800753	-0.137299133
N248	N	6.203251122	0.065983015
N249	N	6.149535475	-0.714199277
N250	N	6.184575521	-0.306784379
N251	N	6.193377018	-0.170531151
N252	N	6.195408105	-0.692214089
N253	N	6.194653903	0.071693783
N254	N	6.199948627	-0.329626422
N255	N	6.207526566	-0.773409719
N256	N	6.173633533	-0.739345336
N257	N	6.189202173	-0.570531151
N258	N	6.203806568	-0.179986501
N259	N	6.187761096	-1.374971596
N260	N	6.197262639	-0.338122772
N261	N	6.227108451	0.689883087
N262	N	6.196157398	-0.213369218
N263	N	6.161512969	-0.617945614
N264	N	6.210662899	0.36714989
N265	N	6.210406553	-0.351581174
N266	N	6.179823998	-0.67758348
N267	N	6.182213556	-0.933353611
N268	N	6.184317093	-0.341373536
N269	N	6.213816998	0.596314415
N270	N	6.180237439	-0.263761076
N271	N	6.216830471	0.0
N272	N	6.189299924	-0.359142629
N273	N	6.176359942	-0.761121402
N274	N	6.206173589	-0.037918914
N275	N	6.186812841	-0.477375589
N276	N	6.190356562	-0.044918495
N277	N	6.192340542	0.189242248
N278	N	6.18486389	-0.157354304
N279	N	6.18703927	-0.284257297
N280	N	6.189753034	-0.102296166
N281	N	6.179795209	-1.217013959
N282	N	6.183888731	-0.226792454
N283	N	6.21265452	-0.046347455
N284	N	6.204485571	0.5915511
N285	N	6.2262925	0.0
N286	N	6.189031383	-0.121392233
N287	N	6.186401872	-0.181268843
N288	N	6.191951047	-0.652524948
N289	N	6.197166121	0.0
N290	N	6.176379648	-0.453891327
N291	N	6.174760822	-0.740540748
N292	N	6.215150428	-0.139124961
N293	N	6.191120458	-1.044263322
N294	N	6.195901424	-0.198245658
N295	N	6.201068735	-1.291047757
N296	N	6.192543629	-0.031728503
