sample	type	UAR	Z
N1	N	4.136836564	-0.836825107
N2	N	4.113071937	-0.269431698
N3	N	4.150198594	-0.40732682
N4	N	4.150341688	-0.472876345
N5	N	4.195273934	0.598907864
N6	N	4.174610433	0.12483716
N7	N	4.215560041	1.527137813
N8	N	4.121810726	-0.371846991
N9	N	4.208801174	1.32518344
N10	N	4.137892375	-0.669826772
N11	N	4.146708472	-0.575297039
N12	N	4.216959234	0.589540017
N13	N	4.133761301	-0.155195423
N14	N	4.136416834	0.170317224
N15	N	4.15068575	-0.116938522
N16	N	4.134356475	-0.293748648
N17	N	4.165633254	-0.550406084
N18	N	4.082582761	-0.603616308
N19	N	4.165329973	0.070403718
N20	N	4.172002344	0.07855133
N21	N	4.17429717	0.439810827
N22	N	4.172142448	-0.13728934
N23	N	4.115334284	-0.500061611
N24	N	4.163570263	-0.23387412
N25	N	4.166618475	0.136404486
N26	N	4.147615391	-0.051728553
N27	N	4.136480629	-0.330404249
N28	N	4.180925139	0.200637196
N29	N	4.173499122	0.122066532
N30	N	4.181931912	0.309510935
N31	N	4.178528101	0.754032905
N32	N	4.123407313	-0.572400945
N33	N	4.163443811	-0.007516474
N34	N	4.206519329	0.778108891
N35	N	4.154578375	0.0
N36	N	4.044751594	-0.414086039
N37	N	4.164848012	-0.245493922
N38	N	4.158059867	-0.829292182
N39	N	4.162322769	-1.508507273
N40	N	4.123568886	0.0
N41	N	4.067890498	-1.313679716
N42	N	4.150686236	0.002970965
N43	N	4.169686415	0.0
N44	N	4.196711153	0.0
N45	N	4.206451599	1.69248911
N46	N	4.16502048	-0.028565924
N47	N	4.124842826	0.102965844
N48	N	4.161337771	0.200281315
N49	N	4.200440762	1.404223683
N50	N	4.148138695	0.25172242
N51	N	4.134534351	-0.709849563
N52	N	4.194433645	2.169555088
N53	N	4.206843997	1.612526985
N54	N	4.135110572	0.153915351
N55	N	4.163518435	0.170201296
N56	N	4.121988417	-0.144297896
N57	N	4.125691668	-0.225962669
N58	N	4.109555352	-1.598894896
N59	N	4.169242187	0.440482855
N60	N	4.169368687	0.013754314
N61	N	4.126007562	0.196787373
N62	N	4.194480871	0.306475458
N63	N	4.171345775	0.660283614
N64	N	4.197296714	0.182778768
N65	N	4.097319971	-0.245965815
N66	N	4.174149827	0.690342532
N67	N	4.165537481	0.173139041
N68	N	4.200365962	1.277137201
N69	N	4.199949836	0.785620698
N70	N	4.171787338	0.202544573
N71	N	4.19068862	0.99074423
N72	N	4.130737527	-0.097512189
N73	N	4.183738271	0.369524328
N74	N	4.073853504	-0.931765739
N75	N	4.168612521	0.908613099
N76	N	4.129766284	-0.872974049
N77	N	4.133665144	0.461660011
N78	N	4.221364466	0.853353991
N79	N	4.216728873	2.023157879
N80	N	4.155874699	-0.621908121
N81	N	4.175860324	1.005907528
N82	N	4.176745553	0.139024183
N83	N	4.155334969	0.003847044
N84	N	4.182495809	-0.803642161
N85	N	4.147118133	-0.04417068
N86	N	4.109430025	-0.517262751
N87	N	4.155594237	-0.587709309
N88	N	4.156496797	-0.084637505
N89	N	4.145645639	0.763134178
N90	N	4.155308478	0.0
N91	N	4.158458623	0.658292319
N92	N	4.185570621	0.263101794
N93	N	4.204831328	0.463761123
N94	N	4.121834397	-1.026257569
N95	N	4.120266557	-0.890740458
N96	N	4.19501802	0.484245817
N97	N	4.175574234	0.055904873
N98	N	4.145043689	-0.104560091
N99	N	4.222779587	1.108281178
N100	N	4.118708201	0.0
N101	N	4.193803787	0.698096253
N102	N	4.166352006	0.084452197
N103	N	4.130901955	-0.663935374
N104	N	4.209716721	1.249927525
N105	N	4.203542321	1.511945562
N106	N	4.13873121	-0.310794707
N107	N	4.116187581	-0.671673441
N108	N	4.173993223	-0.477763282
N109	N	4.202336778	0.797418964
N110	N	4.176868735	0.400171176
N111	N	4.165589979	0.066152453
N112	N	4.191031211	0.227349066
N113	N	4.154423122	0.843165858
N114	N	4.193086456	1.266679449
N115	N	4.122579301	-0.618664154
N116	N	4.110003095	-0.532330199
N117	N	4.146532847	-0.359323832
N118	N	4.179259763	0.081938119
N119	N	4.152340205	0.163499759
N120	N	4.181264419	1.352031289
N121	N	4.204614037	0.0
N122	N	4.112359153	-1.923529722
N123	N	4.114871602	-0.509408303
N124	N	4.179478965	1.552371804
N125	N	4.113971096	-1.056947136
N126	N	4.183397796	0.819901137
N127	N	4.202418035	0.591039821
N128	N	4.229738248	2.426176119
N129	N	4.133122239	0.326661432
N130	N	4.172867592	-0.628389772
N131	N	4.147398114	-0.104720197
N132	N	4.215657349	1.855009106
N133	N	4.166883194	-0.011684473
N134	N	4.230164214	1.274358517
N135	N	4.123275188	-0.0973473
N136	N	4.218447325	1.52763816
N137	N	4.109172594	-0.19326538
N138	N	4.155220894	0.201126682
N139	N	4.119614251	-1.260321627
N140	N	4.195463002	0.717897266
N141	N	4.203862418	1.273949099
N142	N	4.217017419	1.330266489
N143	N	4.131428423	-0.651037378
N144	N	4.146243857	0.319851748
N145	N	4.158651187	-0.315791602
N146	N	4.127215265	-0.209672562
N147	N	4.171581012	0.667480113
N148	N	4.139292711	-0.131359793
N149	N	4.204852008	0.887988576
N150	N	4.17893647	0.834655002
N151	N	4.225865409	1.913974289
N152	N	4.101471405	-0.698474376
N153	N	4.081363968	-0.818222357
N154	N	4.131698002	-1.175840057
N155	N	4.142621801	-0.387513942
N156	N	4.189393315	0.330844239
