sample	type	UAR	Z
N1	N	8.981352683	0.207141831
N2	N	8.983983996	0.318198751
N3	N	8.97662145	1.054273049
N4	N	8.968522291	0.022220854
N5	N	8.965962425	0.404978086
N6	N	8.953296848	0.202847475
N7	N	8.950515531	0.319011056
N8	N	8.958643519	0.0
N9	N	8.980813948	0.825710567
N10	N	8.975476392	1.323194747
N11	N	8.991308315	0.703107107
N12	N	8.976287119	0.774675027
N13	N	8.953029183	0.700349573
N14	N	8.959710013	-0.17221174
N15	N	8.974339835	0.407432428
N16	N	8.970078881	0.095265423
N17	N	8.989210467	0.539493207
N18	N	9.006035846	0.986651463
N19	N	9.001587352	1.758974606
N20	N	8.985332792	0.793499415
N21	N	8.969934709	-0.090203572
N22	N	8.980388938	0.476145521
N23	N	8.935318287	-0.51578926
N24	N	8.995121741	1.100687604
N25	N	8.993939981	0.688483343
N26	N	8.971428921	0.824515627
N27	N	8.979961817	0.69588986
N28	N	8.994545269	0.203983185
N29	N	8.96685007	0.259501578
N30	N	8.962647717	-0.01985563
N31	N	8.963564252	0.165265272
N32	N	8.924651121	-0.028353151
N33	N	8.993512635	0.533408631
N34	N	8.993873685	0.659227268
N35	N	8.982701738	0.605279204
N36	N	8.960108705	0.340477788
N37	N	8.95378952	0.780271987
N38	N	8.961917463	0.367044181
N39	N	8.992583882	0.734601576
N40	N	8.973267557	0.654501119
N41	N	8.961555827	0.19095158
N42	N	8.967190022	0.404629673
N43	N	8.966205113	0.204749305
N44	N	8.972928944	0.090041482
N45	N	8.974923828	0.278225412
N46	N	8.953519693	0.220208589
N47	N	8.979787991	0.0
N48	N	8.972402371	0.809880443
N49	N	8.966255709	0.262266029
N50	N	8.960944349	0.590157305
N51	N	8.988139663	1.248833945
N52	N	8.945038959	0.364020782
N53	N	8.986164848	0.549506321
N54	N	8.979326482	0.453126578
N55	N	8.961003504	-0.438705241
N56	N	8.995854569	0.547758747
N57	N	8.953892565	0.072189438
N58	N	8.951762012	-0.039436287
N59	N	8.973649042	0.325177836
N60	N	8.966551406	0.238940539
N61	N	8.984077388	0.698074921
N62	N	8.987452138	0.431182702
N63	N	8.980406102	-0.011874849
N64	N	8.948450153	-0.155428957
N65	N	8.985396387	0.797951759
N66	N	8.977292429	0.801336632
N67	N	8.972811325	0.768005639
N68	N	8.958807618	0.745797683
N69	N	8.985433164	0.326653823
N70	N	8.966282584	0.276644867
N71	N	8.997397005	0.45308707
N72	N	9.013818865	0.50312018
N73	N	8.945881437	0.0
N74	N	8.980465728	0.292175932
N75	N	8.977615372	-0.108068665
N76	N	8.988910145	1.133337009
N77	N	8.981946449	0.159175944
N78	N	8.989531412	0.429180942
N79	N	8.951241936	0.0
N80	N	8.968355345	0.0
N81	N	8.988279546	0.75500478
N82	N	8.99313484	0.971486571
N83	N	8.977519876	0.645492385
N84	N	8.974930558	0.645309526
N85	N	9.01418226	1.488810341
N86	N	9.010224592	0.670758256
N87	N	8.988578142	0.354898374
N88	N	8.97804592	0.700574315
N89	N	9.018734482	1.330418018
N90	N	8.982089913	0.668921988
N91	N	8.978513806	0.0
N92	N	8.964765673	0.320807742
N93	N	9.017790164	1.232549091
N94	N	8.979518009	0.369260277
N95	N	8.949840958	0.112395065
N96	N	8.951441725	-0.131850097
N97	N	8.978428944	0.074663771
N98	N	9.004729906	0.895956637
N99	N	8.995206847	0.45854698
N100	N	8.961684711	0.334079651
N101	N	8.973757208	1.056970192
N102	N	8.9790917	0.440425493
N103	N	8.964040621	1.15850439
N104	N	8.982042642	0.892499131
N105	N	8.937450683	-0.354436428
N106	N	8.947262874	0.0
N107	N	8.977437373	0.191006602
N108	N	8.953183499	0.0
N109	N	9.015975344	0.832728863
N110	N	8.960675055	0.746031624
N111	N	8.970565816	0.180189526
N112	N	8.955395149	-0.047576877
