Sample	type	UAR	Z
N1	XX	5.230284879	-3.178801031
N2	XX	5.237949688	-2.936063634
N3	XX	5.254292882	-2.75780134
N4	XX	5.254843171	-3.089573853
N5	XX	5.257297357	-3.407912477
N6	XX	5.269479216	-3.411786378
N7	XX	5.271011475	-3.466491952
N8	XX	5.27274087	-2.374161367
N9	XX	5.275519118	-3.31820461
N10	XX	5.277053854	-2.805080612
N11	XX	5.281134724	-3.377652489
N12	XX	5.282119556	-0.974043203
N13	XX	5.282292479	-3.072502871
N14	XX	5.284015866	-3.339056576
N15	XX	5.287124927	-2.954307731
N16	XX	5.287316968	-2.506713505
N17	XX	5.289272063	-2.387558845
N18	XX	5.291013864	-3.243897306
N19	XX	5.291336946	-3.204157316
N20	XX	5.292145615	-2.332530157
N21	XX	5.292673114	-3.103216485
N22	XX	5.293542048	-2.627134122
N23	XX	5.294325563	-3.285473244
N24	XX	5.294875532	-2.742810208
N25	XX	5.295107231	-3.227167983
N26	XX	5.295563223	-3.130286604
N27	XX	5.295715936	-2.670192141
N28	XX	5.295752026	-2.255504721
N29	XX	5.296572185	-3.432626804
N30	XX	5.296899837	-3.437747826
N31	XX	5.297010743	-2.940141315
N32	XX	5.298543138	-2.952352923
N33	XX	5.299556613	-2.438358174
N34	XX	5.299572487	-2.496061355
N35	XX	5.299858868	-2.99423432
N36	XX	5.299886067	-2.880576909
N37	XX	5.300251404	-2.345898459
N38	XX	5.300399555	-2.487842974
N39	XX	5.300557413	-3.404398287
N40	XX	5.300801457	-1.799314054
N41	XX	5.301039387	-2.579181509
N42	XX	5.301117676	-2.67426181
N43	XX	5.301207827	-3.334774211
N44	XX	5.301502923	-3.033395079
N45	XX	5.302152706	-2.19722452
N46	XX	5.302309246	-3.07969037
N47	XX	5.30258784	-2.308325023
N48	XX	5.302682726	-3.352436232
N49	XX	5.302693063	-2.677838701
N50	XX	5.303117086	-3.322053842
N51	XX	5.304798308	-2.512000913
N52	XX	5.305174357	-1.72694126
N53	XX	5.30527088	-2.730614406
N54	XX	5.305528635	-3.30911038
N55	XX	5.305606385	-2.818746153
N56	XX	5.30596671	-3.240464383
N57	XX	5.306081059	-2.315303872
N58	XX	5.30625652	-2.69861337
N59	XX	5.306542609	-2.031871355
N60	XX	5.306943074	-2.339342357
N61	XX	5.307091033	-2.051450739
N62	XX	5.307324728	-2.447682348
N63	XX	5.307349473	-3.414192547
N64	XX	5.307613278	-3.268319212
N65	XX	5.307665164	-1.943598469
N66	XX	5.308333445	-3.208102043
N67	XX	5.308377631	-2.17334393
N68	XX	5.308550966	-2.686323183
N69	XX	5.308993831	-2.066889976
N70	XX	5.309033478	-3.04852558
N71	XX	5.309150127	-2.406266932
N72	XX	5.309370397	-1.977998031
N73	XX	5.309957883	-2.909328412
N74	XX	5.310141522	-3.241728607
N75	XX	5.310303862	-2.27672731
N76	XX	5.310852404	-3.17350306
N77	XX	5.311048028	-2.941271831
N78	XX	5.311406059	-2.80846706
N79	XX	5.311533781	-3.106646698
N80	XX	5.311680562	-3.431435508
N81	XX	5.311962727	-2.971713312
N82	XX	5.311968818	-2.492782678
N83	XX	5.312216255	-2.933591393
N84	XX	5.312323515	-1.95358008
N85	XX	5.312534895	-3.156108357
N86	XX	5.312708761	-1.746065975
N87	XX	5.312763882	-3.119767391
N88	XX	5.312897439	-3.406090511
N89	XX	5.312932028	-3.087980906
N90	XX	5.313028784	-2.398261663
N91	XX	5.313051832	-2.877413085
N92	XX	5.313231525	-2.602781682
N93	XX	5.31325846	-3.079543045
N94	XX	5.313613756	-3.071973615
N95	XX	5.313665519	-2.594907271
N96	XX	5.313697132	-2.638248805
N97	XX	5.313808081	-2.541084362
N98	XX	5.314058388	-3.050477821
N99	XX	5.314239451	-2.326153809
N100	XX	5.314280372	-3.229252418
N101	XX	5.314423484	-2.685352949
N102	XX	5.31445241	-2.339492931
N103	XX	5.314598025	-2.514211114
N104	XX	5.314600437	-3.343936019
N105	XX	5.314974759	-2.671242519
N106	XX	5.31500601	-3.033750164
N107	XX	5.315119397	-2.504282938
N108	XX	5.315129607	-2.722898427
N109	XX	5.31516722	-3.188470411
N110	XX	5.31516878	-2.186730947
N111	XX	5.315339048	-2.979708126
N112	XX	5.31536406	-2.689338292
N113	XX	5.315369828	-2.761767561
N114	XX	5.315523789	-1.968738459
N115	XX	5.315657058	-3.225574598
N116	XX	5.315842054	-3.399156621
N117	XX	5.315969298	-2.75715984
N118	XX	5.316127881	-3.314483611
N119	XX	5.316622449	-2.253058008
N120	XX	5.316789557	-3.104365309
N121	XX	5.31681478	-3.37032749
N122	XX	5.316838682	-2.125313761
N123	XX	5.316940466	-2.458572802
N124	XX	5.316974967	-2.934048113
N125	XX	5.317067519	-2.053430919
N126	XX	5.317123308	-2.892092496
N127	XX	5.31715825	-2.762378612
N128	XX	5.317235491	-3.044008887
N129	XX	5.317392324	-2.589968184
N130	XX	5.317445505	-2.039165356
N131	XX	5.317475845	-1.877666551
N132	XX	5.317600631	-3.062047517
N133	XX	5.317847105	-2.937155369
N134	XX	5.317912463	-3.308319502
N135	XX	5.318047445	-2.651911703
N136	XX	5.318273351	-2.61014912
N137	XX	5.318392287	-2.595562154
N138	XX	5.318466453	-2.580317501
N139	XX	5.318486279	-3.257682025
N140	XX	5.318625432	-2.739086862
N141	XX	5.319016876	-3.428841173
N142	XX	5.31904804	-2.060589245
N143	XX	5.319085128	-3.180641267
N144	XX	5.319119921	-2.074099495
N145	XX	5.319279671	-3.422645474
N146	XX	5.319333939	-2.222028937
N147	XX	5.319351574	-2.968452557
N148	XX	5.31936245	-2.141784765
N149	XX	5.319477156	-2.354011652
N150	XX	5.319554275	-2.681901934
N151	XX	5.319807705	-2.909391496
N152	XX	5.32017261	-2.86465915
N153	XX	5.320257126	-3.830903673
N154	XX	5.320295	-2.374959228
N155	XX	5.320338049	-2.340275819
N156	XX	5.320356712	-1.904404503
N157	XX	5.320387323	-3.539802635
N158	XX	5.320387473	-2.552479126
N159	XX	5.32042515	-3.401731411
N160	XX	5.320541135	-2.616475117
N161	XX	5.320598032	-3.224471836
N162	XX	5.320664046	-1.967881072
N163	XX	5.320690453	-2.305992921
N164	XX	5.321331378	-2.504134592
N165	XX	5.321585119	-2.426524266
N166	XX	5.321718355	-1.860786715
N167	XX	5.321734915	-2.682239573
N168	XX	5.321799109	-3.823773125
N169	XX	5.321948438	-2.745950452
N170	XX	5.321956768	-2.834967051
N171	XX	5.322054622	-3.366294487
N172	XX	5.322108659	-2.68485271
N173	XX	5.322225184	-2.292551598
N174	XX	5.322360151	-1.854377997
N175	XX	5.3226014	-2.932645585
N176	XX	5.322710447	-2.740565675
N177	XX	5.322888551	-2.163701301
N178	XX	5.322992189	-2.15897391
N179	XX	5.323034501	-2.885287376
N180	XX	5.323047711	-2.30179704
N181	XX	5.323314988	-2.694946548
N182	XX	5.323410828	-2.047072034
N183	XX	5.323548912	-3.837644073
N184	XX	5.323586655	-3.226308035
N185	XX	5.323607948	-3.177419301
N186	XX	5.323705504	-2.632475179
N187	XX	5.32372936	-1.885116886
N188	XX	5.323830677	-2.493056556
N189	XX	5.323918157	-2.727812386
N190	XX	5.324012795	-2.132435006
N191	XX	5.324110502	-2.775268534
N192	XX	5.324217097	-3.741916407
N193	XX	5.32440266	-2.815396177
N194	XX	5.324541205	-2.828768537
N195	XX	5.324569578	-2.3587686
N196	XX	5.32457568	-2.76194535
N197	XX	5.324628585	-3.057939021
N198	XX	5.324797228	-3.905855614
N199	XX	5.324810429	-2.750749838
N200	XX	5.324829464	-2.147940874
N201	XX	5.324837119	-3.863990788
N202	XX	5.324874374	-1.808444639
N203	XX	5.324919082	-1.867791173
N204	XX	5.324979082	-3.134918271
N205	XX	5.325113371	-2.203167679
N206	XX	5.325327824	-2.3974005
N207	XX	5.325405111	-2.691856517
N208	XX	5.325422499	-3.173463326
N209	XX	5.325469872	-2.486931495
N210	XX	5.325591886	-2.782079789
N211	XX	5.325621331	-2.241262731
N212	XX	5.325642126	-3.131146201
N213	XX	5.325706465	-2.645417354
N214	XX	5.325724206	-2.943227162
N215	XX	5.325901931	-2.080306306
N216	XX	5.326004385	-2.620553085
N217	XX	5.326127391	-2.514212985
N218	XX	5.326130092	-3.193499628
N219	XX	5.326377938	-2.301420398
N220	XX	5.326424915	-2.181010355
N221	XX	5.326466707	-2.886615525
N222	XX	5.326491142	-3.669642214
N223	XX	5.32660206	-2.26253038
N224	XX	5.326622038	-2.017404591
N225	XX	5.326647798	-3.364916406
N226	XX	5.326798014	-2.275649786
N227	XX	5.32685846	-2.480281176
N228	XX	5.326976142	-2.55887268
N229	XX	5.327030345	-2.254753317
N230	XX	5.32717989	-2.451296974
N231	XX	5.327200302	-2.297293692
N232	XX	5.327378781	-3.46255989
N233	XX	5.327381836	-3.370528163
N234	XX	5.327433436	-2.056074585
N235	XX	5.327446937	-2.532839913
N236	XX	5.32746395	-3.683291408
N237	XX	5.327476879	-3.538302526
N238	XX	5.327535022	-2.265463206
N239	XX	5.327610093	-2.577628239
N240	XX	5.327702119	-3.09439182
N241	XX	5.327719988	-2.990072688
N242	XX	5.327878934	-2.509761513
N243	XX	5.327926291	-2.875508188
N244	XX	5.327997768	-1.977791639
N245	XX	5.328113092	-2.774509286
N246	XX	5.328247098	-2.179957866
N247	XX	5.328262551	-1.856779514
N248	XX	5.32842503	-2.435952319
N249	XX	5.328486378	-2.395679555
N250	XX	5.328529533	-2.854332805
N251	XX	5.32860698	-2.121272973
N252	XX	5.328781458	-2.020017975
N253	XX	5.328797512	-3.798598618
N254	XX	5.328811357	-2.607072724
N255	XX	5.328837522	-2.565388501
N256	XX	5.328884755	-2.928770961
N257	XX	5.328914052	-1.715641215
N258	XX	5.329036793	-2.108397096
N259	XX	5.32911881	-2.321472368
N260	XX	5.329186686	-2.951335714
N261	XX	5.329307703	-2.92337502
N262	XX	5.329483102	-1.996407103
N263	XX	5.329538545	-2.588881052
N264	XX	5.329581853	-1.930477606
N265	XX	5.329603064	-2.786182267
N266	XX	5.329653187	-2.21386999
N267	XX	5.329814496	-2.921851314
N268	XX	5.329921355	-3.209887405
N269	XX	5.329956053	-2.714614571
N270	XX	5.330076617	-1.761600544
N271	XX	5.330149875	-3.286647857
N272	XX	5.33050451	-1.648420657
N273	XX	5.330553667	-2.665940686
N274	XX	5.330559218	-2.716838992
N275	XX	5.33057744	-2.313501943
N276	XX	5.330638531	-2.9065926
N277	XX	5.330643916	-1.290639779
N278	XX	5.330676734	-2.29788041
N279	XX	5.330690458	-2.313710977
N280	XX	5.330713265	-3.225392368
N281	XX	5.330815922	-2.728129806
N282	XX	5.330879722	-1.945431674
N283	XX	5.330913207	-1.411878481
