sample	type	UAR	Z
N1	N	3.630091546	2.070846771
N2	N	3.657982891	2.027266511
N3	N	3.673007432	1.974379678
N4	N	3.660276376	1.806337538
N5	N	3.634820714	1.802296733
N6	N	3.655842846	1.794046969
N7	N	3.643236918	1.76722411
N8	N	3.651615058	1.720333327
N9	N	3.649953849	1.576209827
N10	N	3.639742209	1.52783238
N11	N	3.645526294	1.471073348
N12	N	3.643941388	1.432562387
N13	N	3.636790698	1.396618134
N14	N	3.634450856	1.38708273
N15	N	3.627900446	1.379174104
N16	N	3.63620296	1.360520748
N17	N	3.637709183	1.343424802
N18	N	3.63971255	1.333736511
N19	N	3.65108619	1.332139444
N20	N	3.648359308	1.318581773
N21	N	3.64572854	1.310162061
N22	N	3.633627144	1.304240335
N23	N	3.640839417	1.302853963
N24	N	3.675133159	1.289128767
N25	N	3.651528014	1.285902762
N26	N	3.635335611	1.264445704
N27	N	3.641495638	1.263197607
N28	N	3.650247673	1.244763269
N29	N	3.624360879	1.238904672
N30	N	3.618061196	1.238368969
N31	N	3.630119902	1.21434355
N32	N	3.647451638	1.211573916
N33	N	3.63516782	1.209067866
N34	N	3.642177723	1.203674592
N35	N	3.630677958	1.196863095
N36	N	3.633862988	1.19212341
N37	N	3.63618459	1.189668148
N38	N	3.623735234	1.184426805
N39	N	3.650443797	1.177197979
N40	N	3.633659672	1.172875278
N41	N	3.643624642	1.165262927
N42	N	3.618202681	1.165053918
N43	N	3.648780005	1.159590443
N44	N	3.639638844	1.157458273
N45	N	3.635295963	1.152115616
N46	N	3.648592878	1.138545273
N47	N	3.636119722	1.138024997
N48	N	3.65620063	1.124655617
N49	N	3.650113608	1.120961159
N50	N	3.626776178	1.111493788
N51	N	3.627786205	1.108807196
N52	N	3.643028841	1.102484349
N53	N	3.636262076	1.101047627
N54	N	3.642373806	1.088020664
N55	N	3.631522812	1.08086463
N56	N	3.637213084	1.078409806
N57	N	3.649141716	1.074049962
N58	N	3.645880281	1.068929472
N59	N	3.63625405	1.068384696
N60	N	3.640657084	1.065266769
N61	N	3.637191367	1.052238862
N62	N	3.657193314	1.051137273
N63	N	3.658143387	1.048368017
N64	N	3.681389535	1.042560075
N65	N	3.65255422	1.037898945
N66	N	3.627588448	1.037618986
N67	N	3.641134487	1.034920471
N68	N	3.633187004	1.030922735
N69	N	3.62774219	1.030360916
N70	N	3.645343532	1.029625845
N71	N	3.648422125	1.026397649
N72	N	3.650749821	1.023635875
N73	N	3.649140602	1.023427083
N74	N	3.634612441	1.01885199
N75	N	3.639670489	1.013248567
N76	N	3.655714285	1.012959068
N77	N	3.631547677	1.009676229
N78	N	3.637286049	1.004474475
N79	N	3.645965886	0.999855699
N80	N	3.648803639	0.997474935
N81	N	3.646076355	0.991976077
N82	N	3.63649291	0.990063478
N83	N	3.619437952	0.984895062
N84	N	3.622824436	0.978693617
N85	N	3.651792113	0.972726529
N86	N	3.641774574	0.971508767
N87	N	3.664044717	0.968117001
N88	N	3.653804285	0.963096404
N89	N	3.619332845	0.956813454
N90	N	3.627054807	0.945916367
N91	N	3.640804758	0.942719668
N92	N	3.643470809	0.940464455
N93	N	3.647734271	0.93126956
N94	N	3.649889462	0.92896256
N95	N	3.650415961	0.926149482
N96	N	3.647082426	0.904945926
N97	N	3.643628606	0.902948139
N98	N	3.657381358	0.895164439
N99	N	3.639205606	0.892610118
N100	N	3.631540407	0.8921026
N101	N	3.634719317	0.885986845
N102	N	3.640153846	0.883475228
N103	N	3.634551029	0.879591009
N104	N	3.636520327	0.875016246
N105	N	3.637604063	0.874016909
N106	N	3.645526414	0.873985315
N107	N	3.636287397	0.872748626
N108	N	3.643067446	0.87200427
