sample	type	UAR	Z
N1	N	2.982663745	0.013884346
N2	N	2.899400037	-0.314179763
N3	N	2.944255559	-0.413034014
N4	N	2.916064215	-2.006546114
N5	N	2.922389893	-1.169331985
N6	N	2.924574736	-0.078647644
N7	N	2.95888055	-0.513983602
N8	N	2.994088312	0.0
N9	N	2.978035898	-0.447688338
N10	N	3.004066697	0.0
N11	N	2.936409345	-1.219425121
N12	N	2.975487087	-1.542730195
N13	N	2.926339787	-0.068916456
N14	N	2.977876134	-0.728974862
N15	N	2.92426428	-0.655576875
N16	N	3.009538897	0.86025085
N17	N	3.035657631	1.060249512
N18	N	2.975130391	-0.665022205
N19	N	2.916035529	-2.161294856
N20	N	2.927794425	0.041783304
N21	N	2.940975616	-2.207690755
N22	N	2.952119278	-0.483831476
N23	N	2.985185466	0.655654151
N24	N	2.916209194	0.642119415
N25	N	3.024679682	0.474691045
N26	N	2.937372037	-0.594578877
N27	N	3.005583561	1.796894297
N28	N	2.985684374	0.179632672
N29	N	2.990454085	1.349156789
N30	N	2.998396796	0.668573454
N31	N	2.934558215	-0.520500362
N32	N	2.991331559	-0.260909549
N33	N	3.008401356	0.534490327
N34	N	2.98335667	-0.52108086
N35	N	2.947149266	-0.453698435
N36	N	2.993266326	0.108717759
N37	N	2.948608138	-0.161967968
N38	N	2.989409414	1.188352087
N39	N	2.943690596	0.014542389
N40	N	2.923001779	-0.658476013
N41	N	2.891640354	-1.271223207
N42	N	3.044422158	-0.204805651
N43	N	2.98470162	-0.176268392
N44	N	2.972416214	0.82480651
N45	N	2.920239287	-0.21943824
N46	N	3.017981557	1.066041007
N47	N	2.995239529	0.562940412
N48	N	2.957040802	-0.675986364
N49	N	2.990276942	1.362027789
N50	N	2.980269573	-1.038353042
N51	N	2.953304682	-1.493937138
N52	N	2.949454598	-0.985893909
N53	N	2.958590915	-0.101582213
N54	N	2.928723591	-2.026007623
N55	N	2.975065867	-0.23848937
N56	N	2.929233032	-1.893478863
