sample	type	UAR	Z
N1	N	7.126339696	-0.268644425
N2	N	7.119602925	-0.656651119
N3	N	7.128578342	-0.035170275
N4	N	7.138795082	0.0
N5	N	7.139045136	0.465058985
N6	N	7.123959563	-0.73752472
N7	N	7.128871166	0.0
N8	N	7.098610498	-1.526881627
N9	N	7.088348842	-1.051180826
N10	N	7.101474491	-0.456446319
N11	N	7.101429257	-0.726278632
N12	N	7.123020776	-0.931227108
N13	N	7.10501416	-0.583363652
N14	N	7.120555506	-1.207087341
N15	N	7.120030038	-0.672711109
N16	N	7.107911662	-0.781610985
N17	N	7.129653828	-0.45541558
N18	N	7.137000671	-0.660304086
N19	N	7.135025761	-0.200364026
N20	N	7.0800821	-0.763771416
N21	N	7.121875514	-0.255750958
N22	N	7.114529775	-0.712058923
N23	N	7.09588898	-1.198301621
N24	N	7.079222879	-0.551333033
N25	N	7.078486317	-1.183716606
N26	N	7.110196233	-0.86094279
N27	N	7.121503082	0.292719808
N28	N	7.124872771	-0.299580639
N29	N	7.104221297	-0.67813929
N30	N	7.095777838	-1.328799377
N31	N	7.103781053	-0.910468431
N32	N	7.067844229	-1.58741332
N33	N	7.097295024	-0.644202263
N34	N	7.078006571	-1.212243876
N35	N	7.108808229	-1.263702213
N36	N	7.123319781	-0.545760486
N37	N	7.132262695	0.0
N38	N	7.155488569	-0.393182776
N39	N	7.12169336	-0.890625846
N40	N	7.106671899	-0.490187844
N41	N	7.105727462	-1.863801048
N42	N	7.101109912	-0.708003835
N43	N	7.12276859	-0.456312047
N44	N	7.09685562	-1.103295589
N45	N	7.129770502	0.0
N46	N	7.103511168	-0.86816624
N47	N	7.0966591	-1.037645197
N48	N	7.104511885	-0.073040526
N49	N	7.110724465	-1.840839606
N50	N	7.123118282	0.0
N51	N	7.108469492	-0.755004936
N52	N	7.101331214	-0.769409221
N53	N	7.111887133	-0.653031262
N54	N	7.122208328	-0.371926475
N55	N	7.143805613	-0.861088411
N56	N	7.107222355	-0.596205462
N57	N	7.118931388	-0.513209052
N58	N	7.124877849	-0.678813314
N59	N	7.118926197	0.0
N60	N	7.102493175	-1.54027818
N61	N	7.098320126	-0.242496781
N62	N	7.11539501	-0.589817229
N63	N	7.121496524	-0.450471614
N64	N	7.136671537	-0.833824877
N65	N	7.093437182	-0.511888785
N66	N	7.092895825	-0.676430062
N67	N	7.124376812	0.0
N68	N	7.116751761	-0.082134445
N69	N	7.130665943	-0.388318977
N70	N	7.08946484	-1.422329682
N71	N	7.110540242	-1.150320903
N72	N	7.150732487	-0.565196256
N73	N	7.121714831	-0.653861898
N74	N	7.101783559	-0.744602316
N75	N	7.126467719	-0.274900496
N76	N	7.110925295	0.0
N77	N	7.089899103	-1.301738727
N78	N	7.125920045	-0.449916764
N79	N	7.126210494	-0.43231397
N80	N	7.124772762	-0.164423037
N81	N	7.116643211	-0.420667456
N82	N	7.111287661	-0.472851678
N83	N	7.1265449	0.187667609
N84	N	7.106739969	-1.333244786
N85	N	7.112550065	-0.687954523
N86	N	7.121430157	0.0
N87	N	7.089918193	-1.505048533
N88	N	7.159662652	0.089684574
N89	N	7.121829289	-0.775720673
N90	N	7.102671797	-0.497749495
N91	N	7.11196992	-0.889458115
N92	N	7.128766795	-0.197369644
N93	N	7.094098642	-0.819425702
N94	N	7.124869507	-0.396415549
N95	N	7.151213735	0.0
N96	N	7.121704496	-1.096463568
N97	N	7.112563709	-1.345938262
N98	N	7.122764949	-0.548977394
N99	N	7.117103704	-1.13805386
N100	N	7.09714958	-1.112796407
N101	N	7.102430521	-0.365731235
N102	N	7.122352248	-1.487060724
N103	N	7.114356313	0.0
N104	N	7.127565233	-0.446718735
N105	N	7.102741254	-1.475617067
N106	N	7.115522591	-0.367550977
N107	N	7.088843123	-0.896036997
N108	N	7.083441675	-0.735574393
N109	N	7.145505575	0.319145491
N110	N	7.093836369	-0.488013534
N111	N	7.118913894	0.104497026
N112	N	7.08512756	-1.098794843
N113	N	7.096800586	-0.774556703
N114	N	7.137542698	0.0
N115	N	7.131469342	0.186866927
N116	N	7.119992404	-0.438935916
N117	N	7.131084888	0.090909269
N118	N	7.123933368	0.0
N119	N	7.096781705	-0.8808973
N120	N	7.118913081	-0.736255034
N121	N	7.130757234	-0.507567839
N122	N	7.118420231	-0.392268572
N123	N	7.118292394	-0.14747421
N124	N	7.108226445	-0.543600371
N125	N	7.116543016	-0.912288942
N126	N	7.094422091	-0.81728941
N127	N	7.09426331	-0.825941666
N128	N	7.094853266	-1.255215781
N129	N	7.070888496	-1.532574216
N130	N	7.106651519	-0.529260932
N131	N	7.093114505	-0.897617654
N132	N	7.1391329	-0.050605155
N133	N	7.120483009	-0.364600264
N134	N	7.132215476	-0.20891758
N135	N	7.120940094	-0.579089798
N136	N	7.123239233	-0.5453409
N137	N	7.108835833	-0.320910944
