sample	type	UAR	Z
N1	N	8.335738145	0.251315404
N2	N	8.373316985	0.652831109
N3	N	8.351969314	0.927895268
N4	N	8.327901205	-0.54613305
N5	N	8.356572812	0.501622217
N6	N	8.339676162	-0.233278818
N7	N	8.31675983	-0.984808311
N8	N	8.364482048	0.602003413
N9	N	8.36790375	0.506203262
N10	N	8.353274415	0.468657698
N11	N	8.384157303	1.152920695
N12	N	8.36179296	0.0
N13	N	8.32431932	-0.168682166
N14	N	8.337058692	0.026585278
N15	N	8.338386174	0.0
N16	N	8.380958562	0.854903774
N17	N	8.357548347	0.0
N18	N	8.358100894	0.70512477
N19	N	8.34388476	0.858090006
N20	N	8.381450883	1.397590396
N21	N	8.379968565	1.02099549
N22	N	8.388781053	1.039525795
N23	N	8.3713962	0.799070457
N24	N	8.403163941	1.1999736
N25	N	8.38051843	0.605360618
N26	N	8.365645405	0.895687857
N27	N	8.355977998	0.0
N28	N	8.372325904	1.078002295
N29	N	8.420194973	1.22762359
N30	N	8.358167975	0.471789219
N31	N	8.356293284	0.515605395
N32	N	8.377138036	0.871961615
N33	N	8.384872029	1.078517211
N34	N	8.353587204	0.462800474
N35	N	8.368348669	0.433523664
N36	N	8.383439709	0.948019184
N37	N	8.334788107	0.54088247
N38	N	8.334728789	0.451102888
N39	N	8.340133992	0.39762407
N40	N	8.350515835	0.431460427
N41	N	8.342132892	-0.314008312
N42	N	8.370863039	0.528264167
N43	N	8.366897177	0.635517364
N44	N	8.366473989	0.459104656
N45	N	8.360279009	0.909576304
N46	N	8.336167006	0.235354589
N47	N	8.352661729	0.169244949
N48	N	8.344511586	0.311490696
N49	N	8.357306937	0.551629112
N50	N	8.344239955	0.614511721
N51	N	8.378395399	1.187211804
N52	N	8.365943767	1.045171256
N53	N	8.389782929	0.834445323
N54	N	8.367849622	1.347919911
N55	N	8.340045134	0.328004419
N56	N	8.364916115	0.713789828
N57	N	8.33892753	0.0
N58	N	8.357157776	0.964511322
N59	N	8.356216764	-0.13446439
N60	N	8.370586489	0.251785347
N61	N	8.359460409	0.397512543
N62	N	8.375360714	1.001634351
N63	N	8.387653466	1.459363289
N64	N	8.348589775	0.431047489
N65	N	8.374630076	0.562011133
N66	N	8.341653266	1.168080103
N67	N	8.347024454	0.40851138
N68	N	8.341921331	0.0
N69	N	8.338514629	-0.408872658
N70	N	8.377119528	0.381269145
N71	N	8.367339247	0.234669406
N72	N	8.333263434	0.019260204
N73	N	8.34702474	0.565825224
N74	N	8.405641906	1.314690912
N75	N	8.374675038	1.040667385
N76	N	8.348084237	0.261634361
N77	N	8.380203176	0.518463247
N78	N	8.318850041	-0.192799242
N79	N	8.336081817	0.331599367
N80	N	8.370963697	0.586061594
N81	N	8.325942393	-0.832755442
N82	N	8.357457502	1.115783291
N83	N	8.33279419	-0.149739014
N84	N	8.375524952	1.290656851
N85	N	8.339433851	0.0
N86	N	8.369712883	0.743057357
N87	N	8.383614158	1.006532765
N88	N	8.365321013	0.910783744
N89	N	8.3576182	-0.064255418
N90	N	8.398380524	1.040952318
N91	N	8.386552073	0.674026078
N92	N	8.350258146	-0.109024291
N93	N	8.441953515	1.832741917
N94	N	8.371125198	0.673641732
N95	N	8.337926599	0.136620618
N96	N	8.339099609	-0.256738356
N97	N	8.338054047	0.0
N98	N	8.35232972	0.797369272
N99	N	8.335375901	0.15267766
N100	N	8.383256104	0.800027452
N101	N	8.383484037	1.433680636
N102	N	8.35424379	0.424883182
N103	N	8.383888565	1.768458329
N104	N	8.332332144	0.01437248
N105	N	8.373002201	0.828407437
N106	N	8.377646705	2.065626531
N107	N	8.383923658	0.203018038
N108	N	8.383815117	1.543476057
N109	N	8.391738952	0.890337533
N110	N	8.365686093	0.968072668
N111	N	8.363852038	0.398698016
N112	N	8.330741996	0.015042791
N113	N	8.355926828	0.448114072
N114	N	8.336919634	0.396935201
N115	N	8.330624337	0.0
N116	N	8.357284137	0.9515912
N117	N	8.327033426	-0.139944388
N118	N	8.390944341	1.470152883
N119	N	8.35285097	1.006677186
N120	N	8.33635772	0.860258383
N121	N	8.360092469	0.548367313
N122	N	8.388548185	1.267422293
N123	N	8.368343387	1.086634915
N124	N	8.350470346	0.305997753
N125	N	8.365188781	0.744778174
N126	N	8.353165096	0.463458249
N127	N	8.34528619	0.23512705
N128	N	8.378747809	0.651099811
N129	N	8.352977396	0.992037447
N130	N	8.388821296	1.389696465
N131	N	8.373772797	1.675249053
