sample	type	UAR	Z
N1	N	3.026306798	1.356127919
N2	N	2.986658454	1.394197639
N3	N	2.968151805	-0.680554633
N4	N	2.971743238	0.20245363
N5	N	2.996021624	2.166685876
N6	N	2.99145958	1.134437484
N7	N	2.990900927	0.083246438
N8	N	3.004742931	0.931970991
N9	N	3.014023381	1.441937124
N10	N	3.021981952	1.496110171
N11	N	3.009128738	1.911865101
N12	N	2.993916459	1.44314269
N13	N	2.984632701	0.215369531
N14	N	3.007110821	1.262566352
N15	N	3.000185662	1.202143413
N16	N	2.982242282	1.571173676
N17	N	2.972702473	1.074981531
N18	N	3.007877159	1.451222943
N19	N	2.98675647	0.890206444
N20	N	3.015621108	1.579752455
N21	N	3.009039804	1.27422793
N22	N	3.015631137	2.217712062
N23	N	3.006767236	1.053518219
N24	N	2.980716402	0.453122032
N25	N	2.990360168	-0.11965976
N26	N	3.019473014	1.944568793
N27	N	3.002382379	1.173290769
N28	N	3.015106756	1.132801067
N29	N	3.004204246	1.381225393
N30	N	3.021058746	2.096941564
N31	N	2.978579946	0.72766354
N32	N	2.992089623	0.772024422
N33	N	3.013975399	1.191893374
N34	N	2.999685687	1.304388593
N35	N	2.996411605	1.339758516
N36	N	3.0104818	1.530638546
N37	N	2.980332401	-0.582767414
N38	N	2.993911541	1.534171844
N39	N	2.983376559	1.057462033
N40	N	2.994810873	1.047865869
N41	N	2.990743217	0.302674001
N42	N	3.022664309	1.42726289
N43	N	2.99823223	0.530018625
N44	N	2.982102304	-0.017744387
N45	N	2.990247067	1.296687909
N46	N	2.995346165	0.766152182
N47	N	2.982804275	0.767833179
N48	N	2.992742112	0.674020313
N49	N	2.99860159	0.152991798
N50	N	2.994145102	-0.205579232
N51	N	2.972681009	0.0
N52	N	2.971334552	-0.197348593
N53	N	2.974225573	0.0
N54	N	2.985818971	1.032740362
N55	N	3.014952776	0.73790378
N56	N	3.00473557	1.35655301
N57	N	2.998041372	0.728803037
N58	N	2.997878291	1.495132069
N59	N	2.987663139	0.917662846
N60	N	2.996153226	1.181872936
N61	N	2.998264917	1.394940663
N62	N	2.982280144	1.040591436
N63	N	3.021134688	1.652259229
N64	N	3.033006737	2.718975494
N65	N	2.988651564	1.467442431
N66	N	3.002789449	1.359916574
N67	N	2.999728999	0.920657313
N68	N	2.973189612	-0.116735874
N69	N	2.965319478	0.399237539
N70	N	2.980019376	0.569155
N71	N	3.021379564	1.824408
N72	N	2.992160896	1.12210684
N73	N	2.971677098	0.211600173
N74	N	2.994966855	0.346052895
N75	N	2.999954974	0.907911086
N76	N	2.985932686	1.265367173
N77	N	3.007381961	1.524189088
N78	N	3.007814204	1.427934787
N79	N	2.998757642	1.525444058
N80	N	2.995022399	1.311155592
N81	N	2.994811655	0.837383098
N82	N	2.980578333	0.0
N83	N	2.969617097	-0.368106865
N84	N	3.036077041	2.080223835
N85	N	2.996574733	1.342680345
N86	N	3.000456685	1.339327207
N87	N	3.001248549	0.685522078
N88	N	2.999341112	1.243632038
N89	N	2.966803001	-0.279604326
N90	N	2.999561439	1.508078769
N91	N	3.024748583	1.211464865
N92	N	2.973813722	0.147724009
N93	N	3.003044705	0.907843064
N94	N	2.974442358	0.327498036
N95	N	2.978177385	1.390538869
N96	N	2.999144555	0.30835519
N97	N	2.998124266	1.117372715
N98	N	2.99792506	1.184659674
N99	N	3.020011133	2.380185533
N100	N	2.985638535	0.555279198
N101	N	3.008472418	0.647904235
N102	N	3.011555465	1.37195389
N103	N	3.013685407	1.948736795
N104	N	3.029861231	1.696492226
N105	N	2.998176168	0.674203898
N106	N	3.002032085	1.370323838
N107	N	3.033766663	1.681118981
N108	N	3.016677547	1.794606289
N109	N	2.991023393	0.60971341
N110	N	2.983466709	0.242043343
N111	N	2.986641324	0.377778125
N112	N	2.992580571	0.538237235
N113	N	2.999201137	0.909415381
N114	N	3.01401365	1.225683331
N115	N	2.987550572	0.537313049
N116	N	2.994165746	0.857147205
N117	N	2.964493856	0.838693421
N118	N	3.026224089	1.173496335
N119	N	2.987237528	0.352196171
N120	N	3.003248207	1.976507788
N121	N	3.024889746	1.112530003
N122	N	3.016866581	1.647785996
N123	N	3.016761524	1.645182964
N124	N	3.008326246	1.834623839
N125	N	2.987767235	0.66562006
N126	N	3.023729992	1.366114619
N127	N	2.999682934	1.051095323
N128	N	2.994137931	1.107734765
N129	N	2.999380566	1.260876571
N130	N	3.019720822	0.593181727
N131	N	3.012799638	1.27373991
N132	N	2.994116581	0.883093949
N133	N	2.996789597	1.908212365
N134	N	2.973167308	1.169306829
N135	N	2.992267656	0.33087615
N136	N	2.991452602	1.305246795
N137	N	2.979378151	0.706511721
N138	N	2.994611063	0.13064561
N139	N	3.004174678	1.174440117
N140	N	2.99744501	1.582768378
N141	N	2.968669679	-0.210015606
N142	N	2.99580307	0.778701195
N143	N	3.003249693	1.647258097
N144	N	2.988404914	0.96496196
N145	N	3.030949004	1.248830924
N146	N	2.980438152	0.237514176
N147	N	3.012226856	1.989321381
N148	N	3.00746387	1.498454787
N149	N	2.980427201	0.471371545
N150	N	3.008215835	1.083053311
N151	N	2.993527545	0.354949262
N152	N	2.9965969	0.453281347
N153	N	2.977925051	0.038459436
N154	N	3.001072524	1.002192901
N155	N	2.970627076	0.493744327
N156	N	3.029683639	2.027839836
N157	N	2.996830184	0.770150568
N158	N	2.985095447	0.0
N159	N	2.980603927	1.022858469
N160	N	2.979580789	0.743371942
N161	N	3.009204483	0.836309041
N162	N	2.969703098	0.175249986
N163	N	3.034712842	2.025710792
N164	N	3.051824435	2.307022514
N165	N	2.948113162	-0.885418357
