sample	type	UAR	Z
N1	N	6.224568696	0.0
N2	N	6.242627821	0.453095491
N3	N	6.205787438	-0.025946368
N4	N	6.193996565	-0.465324225
N5	N	6.212852338	0.626625882
N6	N	6.202126097	-0.037251547
N7	N	6.191362353	-0.121129827
N8	N	6.183313808	0.184703739
N9	N	6.20016814	0.014102435
N10	N	6.159346899	-0.443036645
N11	N	6.28007728	0.611928863
N12	N	6.193836878	-0.860391338
N13	N	6.230418796	0.757883484
N14	N	6.201887109	-0.401361279
N15	N	6.212609726	0.027066393
N16	N	6.250037032	1.250339721
N17	N	6.169516336	-0.593535234
N18	N	6.217620228	0.266798598
N19	N	6.28608929	0.209676377
N20	N	6.177707954	-0.391626243
N21	N	6.201200295	0.144790917
N22	N	6.162410626	0.0
N23	N	6.169483758	0.0
N24	N	6.177721326	-2.569487528
N25	N	6.22707669	0.0
N26	N	6.177935849	-0.32368578
N27	N	6.238254747	-0.073973352
N28	N	6.231206984	0.191302552
N29	N	6.209191921	0.215435073
N30	N	6.156618348	-0.923791719
N31	N	6.224507156	-0.208741029
N32	N	6.094007573	-1.246562366
N33	N	6.173713248	0.477151504
N34	N	6.186359378	0.0
N35	N	6.205225259	0.393548676
N36	N	6.234748653	0.259525644
N37	N	6.262134809	0.402862817
N38	N	6.177818324	-0.221624988
N39	N	6.17453954	-0.674944008
N40	N	6.265681228	1.154345776
N41	N	6.177550997	0.209762181
N42	N	6.143445636	-0.802710266
N43	N	6.20127178	0.109988317
N44	N	6.156797412	-1.104709256
N45	N	6.203520552	-0.054916797
N46	N	6.117692732	-0.992024376
N47	N	6.143801444	-0.880961075
N48	N	6.242495381	0.902674028
N49	N	6.161715866	-0.986225565
N50	N	6.151539885	-0.768010161
N51	N	6.206598128	0.157617686
N52	N	6.133483335	-0.794042839
N53	N	6.177305576	-1.284381337
N54	N	6.303595329	1.305563778
N55	N	6.190222562	-0.330952339
N56	N	6.226959953	-0.215508317
N57	N	6.151424122	-0.076249916
N58	N	6.191775376	-0.427930758
N59	N	6.300385542	0.118944935
N60	N	6.245321516	0.302822252
N61	N	6.217645527	-0.254539872
N62	N	6.217484172	-0.034426957
N63	N	6.166086192	0.0
N64	N	6.144276179	-0.439509505
N65	N	6.187712311	-0.636071615
N66	N	6.247366283	0.536267933
N67	N	6.244873526	-0.15160387
N68	N	6.211054277	-0.022761674
N69	N	6.1932917	-1.649939189
N70	N	6.208757009	-0.227269036
N71	N	6.193917625	0.34464588
N72	N	6.167552071	-0.491556575
N73	N	6.217176075	0.850068737
N74	N	6.209775539	-0.222477874
N75	N	6.200559055	-0.245507892
N76	N	6.239349417	-0.354196386
N77	N	6.270480824	-0.211172859
N78	N	6.210862241	0.041723703
N79	N	6.181167321	-0.291609064
N80	N	6.257478227	0.835126315
N81	N	6.122793229	-0.482175062
N82	N	6.255134142	0.258819788
N83	N	6.218271241	-0.133091496
N84	N	6.240515784	0.244687574
N85	N	6.254305433	-0.104378025
N86	N	6.211698433	0.143193723
N87	N	6.225353384	0.0
N88	N	6.160977352	-0.742494584
N89	N	6.249895064	0.814809248
N90	N	6.271727841	0.839832291
N91	N	6.218472402	0.053125038
N92	N	6.185726349	0.0
N93	N	6.174050492	-0.982297862
N94	N	6.224364722	0.0
N95	N	6.254525446	0.416234825
N96	N	6.2926313	0.415330917
N97	N	6.2228191	-0.174227825
N98	N	6.220596721	0.870447373
N99	N	6.222664384	0.596101039
N100	N	6.240942693	-0.008063585
N101	N	6.262395354	0.457838633
N102	N	6.254059657	0.278775918
N103	N	6.159425352	-0.139346148
N104	N	6.187564207	-0.487672294
N105	N	6.224695945	-0.172138417
N106	N	6.178402216	-0.568415765
N107	N	6.248291994	0.313503065
N108	N	6.162790195	-1.0199861
N109	N	6.246152556	0.0
N110	N	6.205353115	0.433380799
N111	N	6.131812349	-1.16345795
N112	N	6.178193629	-2.885046527
N113	N	6.106794321	-1.185806212
N114	N	6.230423298	0.0
N115	N	6.206441049	0.534581763
N116	N	6.189303506	-0.397981713
N117	N	6.26890252	0.454424988
N118	N	6.204023055	-0.4378427
N119	N	6.167479368	-1.037228974
N120	N	6.178426698	-0.079720013
N121	N	6.195124212	0.415963045
N122	N	6.189842067	0.244997577
N123	N	6.194568319	0.396054017
N124	N	6.202637818	0.0
N125	N	6.253963447	0.0
N126	N	6.155488256	-0.792657546
N127	N	6.144898377	-0.756561823
N128	N	6.18146107	-0.328071467
N129	N	6.199011757	0.223656064
N130	N	6.27020322	0.166748431
N131	N	6.19985506	-0.319843789
N132	N	6.246686232	-0.208279343
N133	N	6.239239827	0.0
N134	N	6.237746404	0.337368658
N135	N	6.217375699	0.0
N136	N	6.207454319	-0.561621141
N137	N	6.2704013	1.755684328
N138	N	6.18763209	-0.089385937
N139	N	6.161653372	-0.808851193
N140	N	6.175442038	0.094068146
N141	N	6.239626297	-0.27237295
N142	N	6.216868981	0.761313804
N143	N	6.245424024	1.352989592
N144	N	6.234919373	-0.036018265
N145	N	6.205949774	0.855507094
