Sample	type	UAR	Z
N1	XX	5.338289564	-0.726042402
N2	XX	5.30867475	-2.108995706
N3	XX	5.2990913	-1.96244605
N4	XX	5.318947164	-1.454795624
N5	XX	5.43862986	0.276128831
N6	XX	5.411354047	-0.347892202
N7	XX	5.228851514	-3.028479002
N8	XX	5.372095238	-0.469796609
N9	XX	5.380308932	-0.886820217
N10	XX	5.180144827	-2.27260802
N11	XX	5.311590236	-1.059229374
N12	XX	5.341394937	-1.622365655
N13	XX	5.247299778	-1.26006724
N14	XX	5.3702795	-1.24349393
N15	XX	5.417225063	0.80309009
N16	XX	5.188239133	-4.694869488
N17	XX	5.398021038	-0.824338648
N18	XX	5.162056105	-3.268640983
N19	XX	5.251734371	-1.866471786
N20	XX	5.363525793	-0.826324222
N21	XX	5.396293703	-0.508546465
N22	XX	5.146346712	-4.086999525
N23	XX	5.428559606	0.182090221
N24	XX	5.342189773	-1.056845204
N25	XX	5.41037251	0.419774495
N26	XX	5.330779437	-2.476248114
N27	XX	5.379447824	-0.616767032
N28	XX	5.456156248	0.28233324
N29	XX	5.398127703	-0.110290766
N30	XX	5.242552738	-1.889081431
N31	XX	5.283874849	-2.316878423
N32	XX	5.371321417	-0.871880063
N33	XX	5.416004089	1.069014953
N34	XX	5.274764183	-1.568527125
N35	XX	5.171543538	-2.352345828
N36	XX	5.278389297	-1.376084956
N37	XX	5.289625761	-1.70484269
N38	XX	5.238405686	-2.620634762
N39	XX	5.397106908	-0.163593532
N40	XX	5.421004981	-0.102713578
N41	XX	5.346734246	-0.822535772
N42	XX	5.482927091	0.400644016
N43	XX	5.444453456	0.616126605
N44	XX	5.097222114	-2.994640902
N45	XX	5.331809165	-0.910381445
N46	XX	5.279677063	-1.377061883
N47	XX	5.278405443	-1.418181641
N48	XX	5.18659943	-3.040147353
N49	XX	5.34194225	-1.067295201
N50	XX	5.360768841	-0.05478939
N51	XX	5.425815776	-0.29289611
N52	XX	5.217925889	-4.259202554
N53	XX	5.336359005	-0.521064568
N54	XX	5.373902723	-0.088174098
N55	XX	5.376395928	-0.100990806
N56	XX	5.219318471	-1.820739893
N57	XX	5.358316047	0.465059663
N58	XX	5.425054741	0.456961378
N59	XX	5.479952719	0.538688672
N60	XX	5.152127906	-2.483938535
N61	XX	5.331244452	-1.287035117
N62	XX	5.278573171	-2.441243673
N63	XX	5.360470687	-0.553630207
N64	XX	5.320904359	-1.299212576
N65	XX	5.366085148	-0.976129252
N66	XX	5.1301011	-4.504681782
N67	XX	5.094160448	-2.269352817
N68	XX	5.366123979	-0.5106829
N69	XX	5.327841949	-1.864763064
N70	XX	5.41079628	0.96284221
N71	XX	5.225312534	-2.164294692
N72	XX	4.818443927	-9.348023356
N73	XX	5.382094352	0.286435681
N74	XX	5.194857928	-3.138588465
N75	XX	5.262562988	-2.084233413
N76	XX	5.186499461	-2.630012604
N77	XX	5.14441433	-3.46538314
N78	XX	5.436349835	0.229156503
N79	XX	5.379465857	0.704480532
N80	XX	5.322750782	-1.483406793
N81	XX	5.330607412	-0.862109521
N82	XX	5.179755927	-2.762282646
N83	XX	5.368414494	-0.121250531
N84	XX	5.210608535	-3.001848086
N85	XX	5.221486172	-3.095356744
N86	XX	5.192094135	-3.069808976
N87	XX	5.303266809	-1.600489165
N88	XX	5.245457835	-3.206170341
N89	XX	5.301347206	-0.498627406
N90	XX	5.389101858	-0.082836482
N91	XX	5.330641277	-0.647092838
N92	XX	5.349912167	-1.890809992
N93	XX	5.280162131	-1.622048969
N94	XX	5.299694166	-1.291018706
N95	XX	5.51142706	1.20803002
N96	XX	5.275546578	-2.529218031
N97	XX	5.403077527	0.505032355
N98	XX	5.36183186	-0.320506083
N99	XX	5.207328895	-1.964619651
N100	XX	5.418253985	-0.001194997
N101	XX	5.35154572	-0.99084658
N102	XX	5.326953908	-1.476119852
N103	XX	5.286337597	-2.073791765
N104	XX	5.341540589	-0.754623942
N105	XX	5.452709126	0.39484374
N106	XX	5.288005928	-1.57627623
N107	XX	5.277986002	-1.98165149
N108	XX	5.32608822	-2.199893371
N109	XX	5.272351394	-3.013520611
N110	XX	5.309569011	-0.592927011
N111	XX	5.43069967	1.095140844
N112	XX	5.185463831	-3.001353937
N113	XX	5.332178129	-1.397456484
N114	XX	5.223585746	-4.465728116
N115	XX	5.372210927	0.0456882
N116	XX	5.250077515	-1.311649513
N117	XX	5.35934373	-0.858462505
N118	XX	5.349092987	-0.468278187
N119	XX	5.207858838	-2.966046652
N120	XX	5.197860083	-2.536839794
N121	XX	5.323526321	-1.005264904
N122	XX	5.396405306	-0.216495807
N123	XX	5.283601149	-0.559838386
N124	XX	5.392221768	-0.408613051
N125	XX	5.384319704	-0.269678918
N126	XX	5.418672605	0.089288156
N127	XX	5.196297464	-3.138211912
N128	XX	5.214060428	-4.102122441
N129	XX	5.343205672	-1.338384069
N130	XX	5.276303113	-2.106224724
N131	XX	5.116696245	-6.231786264
N132	XX	5.379821937	-0.684379402
N133	XX	5.234775306	-1.573001368
N134	XX	5.374725062	-0.202028793
N135	XX	5.212524341	-1.88459869
N136	XX	5.404997716	-0.183539239
N137	XX	5.366541664	-1.140351491
N138	XX	5.21168197	-1.874523843
N139	XX	5.381288473	-0.81652227
N140	XX	5.366481179	-0.106882755
N141	XX	5.357539926	-0.9052113
N142	XX	5.316321172	-0.656347407
N143	XX	5.222026809	-4.555678116
N144	XX	5.559717394	1.757172073
N145	XX	5.264139938	-2.104630404
N146	XX	5.143785938	-4.485160601
N147	XX	5.291037951	-1.1669223
N148	XX	5.396473631	0.232610072
N149	XX	5.420202415	0.961250688
N150	XX	5.300246388	-1.61056262
N151	XX	5.258622018	-1.62797776
N152	XX	5.320257282	-0.974263277
N153	XX	5.363356303	-0.464775199
N154	XX	5.298565368	-2.616735959
N155	XX	5.271541046	-1.897388016
N156	XX	5.462331438	0.867952392
N157	XX	5.256474566	-2.393881217
N158	XX	5.287627721	-1.624547735
N159	XX	5.361158486	-1.673106338
N160	XX	5.128648164	-3.445415002
N161	XX	5.133168975	-10.94454531
N162	XX	5.158830289	-2.451754743
N163	XX	5.010986775	-5.464906222
N164	XX	5.172741844	-2.352905056
N165	XX	5.350008111	-0.44653782
N166	XX	5.311725992	-2.496355166
N167	XX	5.075838873	-3.665461433
N168	XX	5.366489449	-0.534220472
N169	XX	5.288419146	-1.897917751
N170	XX	5.246891471	-1.591350462
N171	XX	5.345028298	-0.872711741
N172	XX	5.311049545	-0.992793286
N173	XX	5.368652358	-1.114769906
N174	XX	5.369632317	-0.407833719
N175	XX	5.05825839	-3.972689039
N176	XX	5.299856836	-1.388711951
N177	XX	5.355248098	-0.567751037
N178	XX	5.093769467	-3.73514246
N179	XX	5.410636079	0.265387359
N180	XX	5.323445311	-1.346893508
N181	XX	5.324561284	-0.498056643
N182	XX	5.066886629	-8.179063367
N183	XX	5.295885708	-1.494354232
N184	XX	5.322016818	-1.543293113
N185	XX	5.261882903	-2.866481034
N186	XX	5.204374697	-3.442658981
N187	XX	5.383319764	-1.204277686
N188	XX	5.303012235	-1.951320119
N189	XX	5.332041159	-1.240230508
N190	XX	5.326162225	-1.45093941
N191	XX	5.318404807	-1.010157935
N192	XX	5.281353332	-1.942905484
N193	XX	5.209007908	-2.060047403
N194	XX	5.237219371	-2.609483721
N195	XX	5.303872249	-1.299546141
N196	XX	5.275922503	-1.878753791
N197	XX	5.128064718	-4.540246448
N198	XX	5.070850688	-6.330451289
N199	XX	5.109158675	-6.022849724
N200	XX	5.403233033	-0.336538254
N201	XX	5.215179425	-3.891643037
N202	XX	5.277726069	-3.821373707
N203	XX	5.229413367	-4.055586456
N204	XX	5.139559645	-3.228734378
N205	XX	5.388316152	0.277301364
N206	XX	5.178748394	-5.579543501
N207	XX	5.186649231	-2.618256935
N208	XX	5.359849671	0.045321333
N209	XX	5.348442125	-1.716363857
N210	XX	5.31704274	-1.269977335
N211	XX	5.33827745	-0.574890542
N212	XX	5.258396852	-2.233649439
N213	XX	5.3351478	-0.983575734
N214	XX	5.179073295	-5.034215134
N215	XX	5.400815062	-0.386017922
N216	XX	5.393472641	-0.172215038
N217	XX	5.299635709	-2.03674716
N218	XX	5.395717095	-0.102530165
N219	XX	5.387751987	-0.623673922
N220	XX	5.316280377	-1.93351345
N221	XX	5.282519207	-1.527126083
N222	XX	5.338927199	-1.429668535
N223	XX	5.469959607	0.650704029
N224	XX	5.365983294	-0.068161173
N225	XX	5.393711252	-0.537505198
N226	XX	5.255319915	-5.337596273
N227	XX	5.242949649	-1.28522742
N228	XX	5.201126313	-4.95733537
N229	XX	5.182044497	-4.056430007
N230	XX	5.146165338	-2.477850939
N231	XX	5.117675549	-4.006434078
N232	XX	5.249743794	-3.710999284
N233	XX	5.410766733	0.195062338
N234	XX	5.2361211	-2.25524858
N235	XX	5.211092449	-2.847680674
N236	XX	5.217802377	-2.53476719
N237	XX	5.190014363	-4.15867927
N238	XX	5.25722367	-3.066333024
N239	XX	5.191473273	-6.292377695
N240	XX	5.372832575	-0.229305705
N241	XX	5.330167225	-1.863291344
N242	XX	5.394647719	-0.866189835
N243	XX	5.387537728	-0.382107061
N244	XX	5.317057876	-2.431625263
N245	XX	5.359861794	-0.791639178
N246	XX	5.096261264	-4.702077709
N247	XX	5.254492765	-1.533187149
N248	XX	5.399848361	-0.290930947
N249	XX	5.413205819	0.671933264
N250	XX	5.411408262	0.747584969
N251	XX	5.387893401	0.33837094
N252	XX	5.434217765	0.074015066
N253	XX	5.463859156	0.692020113
N254	XX	5.384650901	-0.749565618
N255	XX	5.405308146	0.571082132
N256	XX	5.360073064	-0.692270527
N257	XX	5.099349581	-9.051035308
N258	XX	5.370397728	-1.043989687
N259	XX	5.422419996	-0.787863298
N260	XX	5.285165947	-1.412186966
N261	XX	5.113173147	-4.822324258
N262	XX	5.418117099	-0.053191175
N263	XX	5.391960049	-0.721591416
N264	XX	5.337963691	-1.831934223
N265	XX	5.391174598	-0.403610445
N266	XX	5.319961595	-1.536524812
N267	XX	5.286204386	-0.757837671
N268	XX	5.351447165	-0.820241771
N269	XX	5.383115103	-0.903926406
N270	XX	5.302624857	-0.641182607
N271	XX	5.260286406	-1.627990522
N272	XX	5.260755714	-1.261367287
N273	XX	5.158666468	-2.656480314
N274	XX	5.22337013	-4.738573264
N275	XX	5.396058256	-0.102264378
N276	XX	5.38691304	-0.605667314
N277	XX	5.403164035	-0.512624467
N278	XX	5.415231349	-0.258282456
N279	XX	5.319008812	-0.819007561
N280	XX	5.351680325	-0.705423944
N281	XX	5.351977326	-1.565205958
N282	XX	5.095028849	-4.009939508
N283	XX	5.197137424	-3.44412125
N284	XX	5.317685086	-2.446706155
N285	XX	5.303268228	-0.591648081
N286	XX	5.363506821	-0.67495343
N287	XX	5.272269219	-1.170924153
N288	XX	5.353195461	-0.365128058
N289	XX	5.493363924	0.685902082
N290	XX	5.384870174	0.028370858
N291	XX	5.285637775	-1.155527711
N292	XX	5.30040481	-1.762633189
N293	XX	5.282230177	-1.317693342
N294	XX	5.271331436	-2.569589645
N295	XX	5.308210604	-1.564885723
N296	XX	5.330446271	-0.464534913
N297	XX	5.307705746	-0.987717191
N298	XX	5.374938141	-0.70707561
N299	XX	5.287245395	-1.842845331
N300	XX	5.391637887	0.056346685
N301	XX	5.468401263	0.675189509
N302	XX	5.221639525	-1.744883912
N303	XX	5.080032077	-6.518351616
N304	XX	5.312952839	-1.487287827
N305	XX	5.425907877	0.508071461
N306	XX	5.396330371	-0.387726669
N307	XX	5.339571365	-2.685778547
N308	XX	5.394016489	-0.725968381
N309	XX	5.283963763	-1.524442534
N310	XX	5.162106184	-4.419377396
N311	XX	5.44302946	0.201017395
N312	XX	5.322196806	-1.024062301
N313	XX	5.401642489	-0.57931387
N314	XX	5.327738418	-0.798454746
N315	XX	5.283520594	-1.447351363
N316	XX	5.206624706	-4.355751369
N317	XX	5.417077053	0.016197952
N318	XX	5.286623765	-1.860949434
N319	XX	5.365831823	-0.515521501
N320	XX	5.304244298	-0.46756956
N321	XX	5.309472985	-2.08043392
N322	XX	5.413656145	0.242909079
N323	XX	5.397525566	-0.606529682
N324	XX	5.138329095	-4.137984975
N325	XX	5.24300264	-2.715083345
N326	XX	5.170387484	-3.262869225
N327	XX	5.3285123	-1.783298231
N328	XX	5.047840076	-2.966087089
N329	XX	5.459472284	1.11273959
N330	XX	5.195316295	-3.335396286
N331	XX	5.370902409	-0.257567643
N332	XX	5.268549864	-5.628002445
N333	XX	5.36830494	-0.766453704
N334	XX	5.322991435	-2.025336842
N335	XX	5.430010877	0.548458536
N336	XX	5.239473572	-3.407124801
N337	XX	5.413374914	0.26537437
N338	XX	5.295803653	-2.91726714
N339	XX	5.071443452	-4.22631233
N340	XX	5.291635509	-1.769167123
N341	XX	5.257921271	-1.857101485
N342	XX	5.443418055	0.113544363
N343	XX	5.234922258	-2.40510502
N344	XX	5.393793222	-0.086534868
N345	XX	5.356193931	-1.057370417
N346	XX	5.08462304	-3.413749768
N347	XX	5.406326848	0.061789283
N348	XX	5.349631772	-0.573461082
N349	XX	5.433710616	0.114646523
N350	XX	5.082612503	-4.150881351
N351	XX	5.340755982	-1.219947504
N352	XX	5.235099376	-2.955652598
N353	XX	5.232142605	-2.106531804
N354	XX	5.377823619	-0.379125361
N355	XX	5.289017158	-2.327268353
N356	XX	5.344281157	-1.830767652
N357	XX	5.248618826	-2.236711879
N358	XX	5.218061453	-3.628204679
N359	XX	5.375063204	-0.584130704
N360	XX	5.217102571	-2.322028276
N361	XX	5.315128586	-3.311136142
N362	XX	5.215399213	-3.817869666
N363	XX	5.363063254	-0.821906369
N364	XX	5.277926775	-1.206508364
N365	XX	5.186494866	-1.830465966
N366	XX	5.110632166	-3.49203503
N367	XX	5.243843286	-2.319267559
N368	XX	5.008002169	-5.133789039
N369	XX	5.415888506	-0.283701568
N370	XX	5.287000183	-2.345953353
N371	XX	5.369404714	-0.402985621
N372	XX	5.375919906	-0.173288728
N373	XX	5.228830784	-2.760670175
N374	XX	5.326762842	-1.913872432
N375	XX	5.162889224	-3.496515868
N376	XX	5.305183166	-1.147097953
N377	XX	5.411682524	0.316432109
N378	XX	5.35163991	-1.610178428
N379	XX	5.389753466	0.178613923
N380	XX	5.098134289	-4.545247996
N381	XX	5.315516779	-2.093998126
N382	XX	5.424197439	0.739801954
N383	XX	5.264836231	-1.297561457
N384	XX	5.434189125	0.016975472
N385	XX	5.398129352	0.023845332
N386	XX	5.363073555	-0.399007827
N387	XX	5.119567411	-5.563271659
N388	XX	5.323177121	-1.149349478
N389	XX	5.355296313	-0.616481226
N390	XX	5.272618828	-2.714854432
N391	XX	5.14794044	-6.597079828
N392	XX	5.273924495	-1.450647431
N393	XX	5.247538514	-1.608066671
N394	XX	5.36797579	-0.142526271
N395	XX	5.266807676	-2.952241961
N396	XX	5.336064817	-0.383224896
N397	XX	5.290616968	-1.120861312
N398	XX	5.492200851	1.027039674
N399	XX	5.350941876	-1.227025067
N400	XX	5.237222063	-3.205483029
N401	XX	5.28598002	-1.449419799
N402	XX	5.230114212	-1.373302311
N403	XX	5.397719971	0.214565466
N404	XX	5.412153182	-0.707366615
N405	XX	5.360368699	-0.769683636
N406	XX	5.356644338	-1.172664962
N407	XX	5.398518851	-0.09487804
N408	XX	5.324076318	-1.12339459
N409	XX	5.285852632	-2.023926925
N410	XX	5.127171452	-4.883748831
N411	XX	5.381317643	-0.728646757
N412	XX	5.380570039	0.097707888
N413	XX	5.118668491	-5.774507683
N414	XX	5.353245375	-0.761736004
N415	XX	5.294954511	-2.129739433
N416	XX	5.334532287	-1.04138539
N417	XX	5.363744352	-0.88830773
N418	XX	5.178771057	-1.428573274
N419	XX	5.326524482	-0.765533705
N420	XX	5.429257941	0.017486942
N421	XX	5.350221728	-1.635301361
N422	XX	5.09063782	-5.022942911
N423	XX	5.390222377	-0.40886033
N424	XX	5.340574849	-1.0536649
N425	XX	5.349506732	-1.578415223
N426	XX	5.379268772	0.157909816
N427	XX	5.33203306	-0.215586242
N428	XX	5.369128062	-0.130755342
N429	XX	5.153588701	-5.962899852
N430	XX	5.334216799	-1.043364699
