sample	type	UAR	Z
N1	N	5.70492894	-2.168262252
N2	N	5.718472975	-1.315361489
N3	N	5.702665936	-1.022284065
N4	N	5.717274584	-1.426605572
N5	N	5.705069835	-2.777424789
N6	N	5.715143652	-2.187225417
N7	N	5.735676612	-1.754606178
N8	N	5.707260905	-2.045904162
N9	N	5.705153276	-2.020569181
N10	N	5.720873356	-1.101803267
N11	N	5.711266799	-1.578459553
N12	N	5.712350386	-1.861342855
N13	N	5.72311948	-1.699924574
N14	N	5.701399481	-2.266321783
N15	N	5.692979354	-2.571798303
N16	N	5.714934791	-1.921198787
N17	N	5.707850767	-2.456950591
N18	N	5.683820479	-2.41498957
N19	N	5.701878953	-1.687771545
N20	N	5.686302412	-1.642614574
N21	N	5.702759679	-2.310632983
N22	N	5.697711192	-2.239437559
N23	N	5.698949382	-2.492921431
N24	N	5.697273713	-1.337898041
N25	N	5.706239129	-1.567980694
N26	N	5.708726003	-1.471435861
N27	N	5.706797943	-2.221944847
N28	N	5.69782455	-2.098442643
N29	N	5.684775734	-1.973828481
N30	N	5.7034582	-2.908504654
N31	N	5.72437284	-1.336321336
N32	N	5.682565002	-2.277775593
N33	N	5.694568755	-2.212760744
N34	N	5.686194472	-2.711058174
N35	N	5.698033001	-2.410922689
N36	N	5.679390673	-2.06297088
N37	N	5.732776651	-0.288926698
N38	N	5.715799715	-1.797099798
N39	N	5.724257948	-1.644460512
N40	N	5.717180282	-1.540641599
N41	N	5.727779093	-1.708251919
N42	N	5.683720453	-2.253984282
N43	N	5.717475675	-1.411039006
N44	N	5.703569007	-2.491063359
N45	N	5.715918481	-1.691488197
N46	N	5.711137958	-1.62679596
N47	N	5.685246682	-2.640180253
N48	N	5.706923814	-1.510089812
N49	N	5.69749451	-2.494401641
N50	N	5.703498224	-2.056507893
N51	N	5.740118624	-0.891734491
N52	N	5.728677543	-1.786804579
N53	N	5.699380576	-2.544637499
N54	N	5.710934747	-1.330750106
N55	N	5.704552883	-1.901432389
N56	N	5.693843556	-1.737591895
N57	N	5.692521775	-2.549895818
N58	N	5.733151228	-0.588233332
N59	N	5.721435362	-2.558094976
N60	N	5.709460599	-2.047118286
N61	N	5.709819915	-1.19886751
N62	N	5.691217702	-2.481468905
N63	N	5.680319786	-2.199542904
N64	N	5.700906857	-2.190887561
N65	N	5.680366425	-1.877446163
N66	N	5.727414861	-1.20593167
N67	N	5.696977664	-1.905322291
N68	N	5.72299845	-1.419519047
N69	N	5.723583617	-2.378814956
N70	N	5.727623329	-1.823078663
N71	N	5.721030187	-1.351988887
N72	N	5.707139418	-1.783670943
N73	N	5.728395871	-1.449828267
N74	N	5.680092334	-2.86063343
N75	N	5.703966948	-1.696036157
N76	N	5.705423694	-1.698736035
N77	N	5.706536001	-1.860528847
N78	N	5.705763839	-1.81012997
N79	N	5.731347663	-1.116930795
N80	N	5.716354012	-1.844697085
N81	N	5.713687233	-2.018882982
N82	N	5.717652777	-1.344608906
N83	N	5.710352639	-1.693879398
N84	N	5.709603547	-1.906482863
N85	N	5.686899276	-1.914146392
N86	N	5.70472872	-1.681498386
N87	N	5.701933732	-2.150066841
N88	N	5.717497946	-1.56200808
N89	N	5.693750531	-1.567059351
N90	N	5.699309329	-2.133552123
N91	N	5.710427909	-1.480450157
N92	N	5.706862366	-2.00527518
N93	N	5.691694154	-0.941652299
N94	N	5.70560215	-1.262929319
N95	N	5.750164972	-0.430429563
N96	N	5.686732848	-2.842478196
N97	N	5.707999755	-2.369697695
N98	N	5.714247852	-1.095785964
N99	N	5.709344835	-1.814375929
N100	N	5.709677916	-1.626620387
N101	N	5.709647643	-1.854970552
N102	N	5.700548538	-1.838607282
N103	N	5.698140957	-1.492534535
N104	N	5.719171676	-1.941278657
N105	N	5.711758497	-1.605273336
N106	N	5.706628496	-1.980156264
N107	N	5.695816611	-2.092868796
N108	N	5.738891536	-1.005561123
N109	N	5.70457869	-2.624991742
N110	N	5.755796831	0.0
N111	N	5.721194466	-1.577411397
N112	N	5.710126538	-1.867998087
N113	N	5.717133255	-1.832044973
N114	N	5.690235436	-2.569385117
N115	N	5.721252406	-0.853076432
N116	N	5.728268963	-2.320241133
N117	N	5.703916973	-1.638180714
N118	N	5.690776065	-1.647915084
N119	N	5.71158572	-2.517993838
N120	N	5.719018431	-1.877850491
N121	N	5.697747885	-2.662881127
N122	N	5.702985622	-2.050319846
N123	N	5.710883718	-0.912362928
N124	N	5.707591734	-2.405761342
N125	N	5.712555031	-2.039804931
N126	N	5.713000019	-2.922329943
N127	N	5.698420049	-2.434901434
N128	N	5.704172739	-2.489422043
N129	N	5.719232778	-0.442947467
N130	N	5.692466325	-1.602031684
N131	N	5.718954339	-1.97550625
N132	N	5.697230398	-1.800296014
N133	N	5.712526116	-2.187294689
N134	N	5.71234172	-2.142778283
N135	N	5.696372561	-2.450844524
N136	N	5.726682295	-1.230986461
N137	N	5.743211646	-0.473933705
N138	N	5.69095002	-2.383603897
N139	N	5.715106371	-2.05224521
N140	N	5.707207031	-2.126904352
N141	N	5.724760726	-2.002719666
N142	N	5.70292031	-1.631143124
N143	N	5.717714008	-0.985450301
N144	N	5.710470543	-1.321305674
N145	N	5.710374044	-2.02198348
N146	N	5.703714065	-1.683672945
N147	N	5.702789734	-1.624410003
N148	N	5.709603423	-2.107253064
N149	N	5.727809148	-0.795588965
N150	N	5.706686888	-1.812024724
N151	N	5.711375539	-2.403493603
N152	N	5.713304806	-1.300096186
N153	N	5.721192055	-1.542529155
N154	N	5.714322663	-2.119992319
N155	N	5.713610031	-1.876424069
N156	N	5.701045098	-2.424684174
N157	N	5.709804455	-2.626916376
N158	N	5.698136809	-2.032620976
N159	N	5.704381069	-1.060871381
N160	N	5.698626596	-2.269999417
N161	N	5.714168471	-1.66975526
N162	N	5.72832063	-0.364264497
N163	N	5.7039179	-1.938044381
N164	N	5.698919511	-2.224206141
N165	N	5.710421482	-0.973837288
N166	N	5.724545491	-1.670492973
N167	N	5.719347801	-1.966192118
N168	N	5.711866514	-1.739468844
N169	N	5.699525485	-1.964995386
N170	N	5.693176794	-2.61338666
N171	N	5.693474438	-2.665266961
N172	N	5.722931695	-1.275464639
N173	N	5.697077767	-2.090499642
N174	N	5.731566605	-1.268286581
N175	N	5.70351555	-1.95464283
N176	N	5.71652597	-2.28266049
N177	N	5.706034401	-0.938486181
N178	N	5.723664263	-1.127965697
N179	N	5.691898745	-2.365084705
N180	N	5.716281342	-1.657936141
N181	N	5.692547325	-2.415758829
N182	N	5.722554158	-1.827842514
N183	N	5.704759563	-2.033578446
N184	N	5.720471967	-1.540576365
N185	N	5.712197739	-1.618920303
N186	N	5.690957954	-2.716350164
N187	N	5.69233423	-1.724937102
N188	N	5.72544938	-1.12369094
N189	N	5.698858339	-2.35578443
N190	N	5.709025724	-2.17267109
N191	N	5.72042963	-2.066638513
N192	N	5.702596723	-2.384822158
N193	N	5.718984395	-2.001808702
