Order_id	Sample_id	Order_id_fastq	Order_id_analysis	Sample_id_fastq	Sample_id_analysis	sorted_bam	proper_paired_bam
OPC241100001	2410280003	Y	Y	N	N	N	Y
OPC241100002	2410280007	Y	Y	N	N	N	Y
OPC241100003	2410280006	Y	Y	N	N	N	Y
OPC241100004	2410280005	Y	Y	N	N	N	Y
OPC241100005	2410250017	Y	Y	N	N	N	Y
OPC241100006	2410280004	Y	Y	N	N	N	Y
OPC241100007	2410290016	Y	Y	N	N	N	Y
OPC241100008	2410250016	Y	Y	N	N	N	Y
OPC241100009	2410290018	Y	Y	N	N	N	Y
OPC241100011	2411040003	Y	N	N	N	N	N
OPC241100012	2410310002	Y	N	N	N	N	N
OPC241100013	2411010002	Y	N	N	N	N	N
OPC241100014	2411010012	Y	N	N	N	N	N
OPC241100015	2410300002	Y	N	N	N	N	N
OPC241100016	2411010005	Y	N	N	N	N	N
OPC241100017	2411010010	Y	N	N	N	N	N
OPC241100018	2411010011	Y	N	N	N	N	N
OPC241100019	2411040002	Y	N	N	N	N	N
OPC241100020	2411050003	Y	N	N	N	N	N
OPC241100021	2411010006	Y	N	N	N	N	N
OPC241100022	2411010003	Y	N	N	N	N	N
OPC241100023	2410310003	Y	N	N	N	N	N
OPC241100024	2411040007	Y	Y	N	N	N	Y
OPC241100025	2410300005	Y	N	N	N	N	N
OPC241100026	2410300003	Y	N	N	N	N	N
OPC241100027	2411010007	Y	Y	N	N	N	Y
OPC241100028	2411010001	Y	N	N	N	N	N
OPC241100029	2410310004	Y	N	N	N	N	N
OPC241100030	2411010004	Y	N	N	N	N	N
OPC241100031	2411040001	Y	N	N	N	N	N
OPC241100032	2411010013	Y	N	N	N	N	N
OPC241100033	2411040006	Y	N	N	N	N	N
OPC241100034	2411040004	Y	N	N	N	N	N
OPC241100035	2411040005	Y	N	N	N	N	N
OPC241100036	2411050007	Y	Y	N	N	N	Y
OPC241100037	2411070007	Y	Y	N	N	N	Y
OPC241100038	2411060006	Y	Y	N	N	N	Y
OPC241100039	2411110011	Y	Y	N	N	N	Y
OPC241100040	2411050005	Y	Y	N	N	N	Y
OPC241100041	2411050004	Y	Y	N	N	N	N
OPC241100042	2411080001	Y	Y	N	N	N	Y
OPC241100043	2411080003	Y	Y	N	N	N	Y
OPC241100044	2411070006	Y	Y	N	N	N	Y
OPC241100045	2411050008	Y	N	N	N	N	N
OPC241100046	2411050009	Y	Y	N	N	N	Y
OPC241100047	2411080004	Y	Y	N	N	N	Y
OPC241100048	2411060001	Y	Y	N	N	N	Y
OPC241100049	2411060003	Y	N	N	N	N	N
OPC241100050	2411110008	Y	Y	N	N	N	Y
OPC241100051	2411060008	Y	Y	N	N	Y	Y
OPC241100052	2411060007	Y	Y	N	N	N	Y
OPC241100053	2411110006	Y	Y	N	N	N	Y
OPC241100054	2411080002	Y	Y	N	N	N	Y
OPC241100055	2411060005	Y	N	N	N	N	N
OPC241100056	2411110007	Y	Y	N	N	N	Y
OPC241100057	2411130007	Y	Y	N	N	N	Y
OPC241100058	2411110003	Y	Y	N	N	N	Y
OPC241100059	2411060002	Y	N	N	N	N	N
OPC241100060	2411110004	Y	Y	N	N	N	Y
OPC241100061	2411110005	Y	Y	N	N	N	Y
OPC241100062	2411110002	Y	Y	N	N	N	Y
OPC241100063	2411060004	Y	N	N	N	N	N
OPC241100064	2411110009	Y	Y	N	N	N	Y
OPC241100065	2411010009	Y	Y	N	N	N	Y
OPC241100066	2411050006	Y	Y	N	N	N	Y
OPC241100067	2411110010	Y	N	N	N	N	N
OPC241100068	2411110012	Y	Y	N	N	N	Y
OPC241100069	2411070004	Y	Y	N	N	N	Y
OPC241100070	2411050001	Y	Y	N	N	N	Y
OPC241100071	2411150001	Y	N	N	N	N	N
OPC241100072	2411190012	Y	Y	N	N	N	Y
OPC241100073	2411130001	Y	Y	N	N	N	Y
OPC241100074	2411190020	Y	Y	N	N	N	Y
OPC241100075	2411190017	Y	Y	N	N	N	Y
OPC241100076	2411130004	Y	Y	N	N	N	Y
OPC241100077	2411140004	Y	N	N	N	N	N
