chr	UAR_min	UAR_max	Z_min	Z_max
chr1	8.5	8.6	2.36	2.5
chr2	9.05	9.13	1.55	2.0
chr3	7.60	7.65	2.0	2.17
chr4	7.07	7.10	-0.65	0.0
chr5	6.74	6.83	0.75	1.5
chr6	6.27	6.35	1.4	2.0
chr7	5.75	5.83	0.30	0.5
chr8	5.55	5.60	2.0	2.2
chr9	4.25	4.30	2.0	2.5
chr10	4.97	5.02	2.31	2.5
chr11	5.01	5.05	1.48	2.0
chr12	5.05	5.15	1.50	2.0
chr13	3.70	3.72	2.08	4.5
chr14	3.40	3.43	1.91	2.3
chr15	3.07	3.10	3.25	3.5
chr16	2.89	2.95	2.50	3.0
chr17	2.90	2.95	2.85	3.2
chr18	2.93	2.96	3.81	5.0
chr19	2.0	2.05	-1.0	1.0
chr20	2.37	2.40	5.94	7.0
chr21	1.33	1.34	6.0	7.0
chr22	1.32	1.35	5.63	7.5
