chr	UR_min	UR_max	Z_min	Z_max
chr1	8.55	8.6	2	2.5
chr2	9.08	9.13	1.8	2.3
chr3	7.6	7.65	1.5	2
chr4	7.1	7.15	1	1.5
chr5	6.77	6.83	1	1.5
chr6	6.3	6.35	1.5	2
chr7	5.77	5.83	-0.3	0.5
chr8	5.52	5.57	1.9	2.4
chr9	4.23	4.4	2	3
chr10	4.96	5	2	2.5
chr11	5.04	5.09	1.2	2
chr12	5.05	5.1	1	1.5
chr13	3.71	3.75	2	4.5
chr14	3.39	3.44	1.8	2.3
chr15	3.07	3.12	3	3.5
chr16	2.87	2.9	2.2	4
chr17	2.89	2.95	2.3	3
chr18	2.92	2.96	3	5
chr19	2.03	2.1	-2	2
chr20	2.37	2.41	5	10
chr21	1.313	1.34	4.3	7
chr22	1.32	1.35	5.5	7.5
