chr	UAR_min	UAR_max	Z_min	Z_max
chr1	8.45	8.50	2.18	2.7
chr2	9.06	9.11	1.78	2.5
chr3	7.45	7.5	2.3	2.5
chr4	7.18	7.25	1.11	2.0
chr5	6.7	6.75	1.8	2.0
chr6	6.19	6.23	1.20	1.5
chr7	5.77	5.8	0.5	1.0
chr8	5.47	5.52	2.85	3.0
chr9	4.23	4.25	1.0	1.5
chr10	5.0	5.03	2.3	2.5
chr11	5.0	5.03	2.19	2.5
chr12	4.97	5.0	1.5	2.0
chr13	3.62	3.65	3.0	3.43
chr14	3.37	3.38	1.97	2.0
chr15	3.05	3.07	2.0	2.5
chr16	3.0	3.1	2.0	2.3
chr17	2.88	2.93	0.9	1.1
chr18	2.90	2.92	6.0	6.77
chr19	2.05	2.07	-3.0	1.0
chr20	2.31	2.32	7.47	9.0
chr21	1.38	1.4	5.0	6.0
chr22	1.28	1.29	2.97	5.0
