chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
0	1.047696062	0.183258998	0.83227252	0.262186557	-0.126964776	-1.510424828	1.926808412	-1.448770089	0.612924814	0.736952249	-0.336445682	0.444909208	-0.238958992	-1.438844573	-0.922362469	-4.532919563	1.64787229	-13.03866172	3.344614552	14.41510299	-3.224524668
-0.412104819	0.753585743	0.196608379	0.477924791	-0.123204169	0	-1.724041434	1.495853384	-1.221146547	0.439641262	0.155774082	0.284208066	-0.140269629	-0.409671266	-0.410333096	-2.498515269	-4.207455461	1.984412755	-12.61877497	1.444196927	8.471680988	-3.232606064
0.866913797	1.190469888	0.634177672	-0.301488657	-0.35475485	0.201751003	-1.614807561	1.132535859	-0.668302254	1.566268585	0.740463604	-0.526880926	0.952450324	0	-1.324498783	-1.343127085	-4.272853479	2.307697125	-14.96878119	2.3447231	12.33980466	-1.359265977
-0.463588101	1.038259907	1.111739516	0.231204952	0.599997381	-0.222627052	-1.543200726	2.08566381	-0.670261836	1.42466908	1.062974293	0	-0.089340987	-0.493412999	-0.984753535	-0.206623687	-4.275263696	2.106619298	-10.45606543	3.269305287	5.328845351	-2.264761726
0.334144358	0.213845197	0.513515574	0	-1.331309223	-0.073723906	-1.938371051	1.483553882	-0.809672618	0.161733358	0.798545103	0.34447744	-0.603763104	-0.573713744	-2.128430163	-0.666611457	-5.159509288	2.925227156	-17.49591626	3.178380322	9.427874502	-2.691229794
0.064715339	0.461523306	0	-0.6459486	-0.11003215	-0.708824047	-1.757855913	2.081323021	-0.700777307	1.26883013	1.032954618	0.364893679	3.201565814	-0.814633114	-1.019325911	0.653589881	-4.249824285	3.377427723	-11.6223973	2.994517582	-0.332999777	-2.020291316
0	0.603183789	0.798295397	0.118784029	0.320771395	-0.029873604	-1.340094415	2.192172686	-0.792204944	1.005290972	1.313452832	-1.435362331	-0.450519933	-0.018493931	-1.000772738	-0.148089363	-4.413759227	3.699567412	-12.66758197	2.874182965	1.584693757	-2.433475788
-0.229358713	0.743780156	0.742583418	0.603625367	0.69929637	-0.784659878	-1.483920592	1.89021782	-0.659992278	0.636421675	0.563994181	-0.765451006	-0.522858073	0	-1.200387545	-1.56750468	-6.14397505	4.616570375	-18.07557411	4.7296399	10.8153659	-2.161831404
0	-0.393218064	0.539157945	0.202454755	0.594541158	-1.236509439	-2.232100917	1.753866106	-0.968299439	0.114675155	0.408158692	-0.63338207	-2.057259944	-0.592097808	-1.518334195	0.462936318	-6.529126449	3.592797511	-12.94215388	2.785794459	0.614383501	-3.995414399
0.040590253	0.595785798	-0.015237451	-1.122109214	-1.408604575	-0.537202649	-2.030765826	1.450600738	-1.5395362	0.371641561	0.675512647	-1.240714045	-0.881047121	0.165866707	0.631273411	0	-6.198964641	6.451118582	-17.84250921	1.976215268	0.862503939	-3.142819251
